shadow_run_id,shadow_created_at,store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,category,brain_validated_action_label,brain_validated_expected_value,brain_learned_action_label,brain_expected_economic_value,brain_expected_uplift_units,brain_expected_stock_exit_distance,brain_top_feature_1,brain_top_feature_2,brain_top_feature_3,validated_alpha_pattern_label,final_governed_action_label,final_governed_order_units,decision_triage_class,economic_net_value_score,buyer_review_priority_score,shadow_candidate_class,shadow_candidate_score,shadow_candidate_rank,human_buyer_decision,human_order_units,human_decision_reason,human_override_flag,human_override_reason,human_confidence_score,human_reviewed_at,human_reviewer,current_soh,expected_soh_at_promo_start_before_order,optimal_base_soh_units,target_day_one_promo_soh,target_end_promo_soh,expected_promo_uplift_units,mission_sku_score,long_tail_sku_flag,basket_attachment_source_quality,segment_historical_bias_pct,segment_historical_wape,expected_shadow_learning_question,shadow_observation_plan,shadow_expected_learning_value,actual_units_sold_promo,actual_gp_promo,actual_start_soh,actual_end_soh,actual_stockout_flag,actual_lost_sales_proxy,actual_basket_gp_when_present,actual_basket_attachment_observed,actual_end_distance_to_optimal_soh,actual_cash_tied_above_optimal,actual_overstock_reduction_units,promo_exit_success_flag_actual,brain_would_have_been_better_flag,brain_vs_human_value_delta,brain_vs_governed_value_delta,brain_prediction_error,brain_action_correctness_label,human_action_correctness_label,lesson_learned_label,lesson_learned_note,human_review_status,human_decision_valid_flag,human_decision_validation_error,human_decision_merge_status,actual_outcome_merge_status,actual_outcome_quality,actual_outcome_proxy_flag,actual_outcome_missing_reason,brain_value_realised_proxy,human_value_realised_proxy,governed_value_realised_proxy,human_vs_governed_value_delta,governed_action_correctness_label,brain_update_recommendation,governance_update_recommendation,data_quality_update_recommendation,stockout_suspected_flag,leftover_units_estimate,promo_start_soh_resolved,distance_to_optimal_end_soh,promo_exit_success_flag,simulated_missed_demand_units,feature_basket_3plus_attach_rate,feature_avg_basket_gp_when_present,missed_units_risk,cash_tied_above_optimal_cost,lesson_weight,brain_positive_reinforcement_weight,brain_negative_reinforcement_weight,governance_relaxation_candidate_flag,governance_tightening_candidate_flag,long_tail_reinforcement_flag,human_review_reinforcement_flag,data_quality_repair_priority_flag,long_tail_update_recommendation,human_review_policy_recommendation,next_learning_action,human_notes,human_review_valid_flag,human_review_validation_error,human_review_merge_status,human_feedback_signal,human_feedback_weight,human_disagrees_with_brain_flag,human_disagrees_with_governed_flag,human_accepts_brain_flag,human_accepts_governed_flag,human_override_direction,human_feedback_learning_note
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|95116|2026-02-19|2026-03-04|772-95116-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,95116,0.0,VITAMIN SUPPLEMENT,WOMENS HEALTH SUPP,BUYER_REVIEW_REQUIRED,95.242,BUYER_REVIEW_REQUIRED,40.856,2.041,0.994,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,2.0,STANDARD_BUY_REVIEW,29.49,17.2,SHADOW_TOP_50_CANDIDATE,64.9,1,,,,,,,,,1.0,1.0,2.0,3.446,2.0,1.446,17.5,YES,LOW,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,59.4,2.0,,,,1,,,,,,,,YES,95.242,65.752,0.041,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,9.724,1.111,0.7,0.411,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,1.0,YES,0.0,0.0,22.222,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|94457|2026-03-05|2026-03-18|772-94457-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,94457,0.0,SKINCARE,COSMECEUTICAL,BUYER_REVIEW_REQUIRED,104.602,BUYER_REVIEW_REQUIRED,45.383,4.472,0.994,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Mission SKU stockout trust risk,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,30.989,0.0,SHADOW_TOP_50_CANDIDATE,62.9,2,,,,,,,,,1.0,1.0,2.0,4.429,2.0,2.429,26.7,YES,MEDIUM,-24.5,0.483,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,59.7,1.0,,,,1,,,,,,,,NO,104.602,73.613,3.472,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,10.262,0.589,-0.35,0.939,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,1.0,NO,0.0,0.0,11.788,0.0,4.82,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,unknown,2025-11-25,2025-12-01,92331,0.0,SKINCARE,COSMECEUTICAL,BUYER_REVIEW_REQUIRED,72.006,BUYER_REVIEW_REQUIRED,98.313,2.247,0.994,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Mission SKU stockout trust risk,TOP_UP_TO_OPTIMAL,4.0,STANDARD_BUY_REVIEW,137.719,16.6,SHADOW_TOP_50_CANDIDATE,54.1,3,,,,,,,,,1.0,1.0,2.0,4.722,2.0,2.722,9.8,YES,LOW,-24.5,0.483,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,55.4,4.0,,,,1,,,,,,,,NO,72.006,-65.713,-1.753,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,8.101,0.0,1.4,-1.4,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,1.0,YES,0.0,0.0,0.0,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|92334|2026-02-19|2026-03-04|772-92334-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,92334,0.0,SKINCARE,COSMECEUTICAL,BUYER_REVIEW_REQUIRED,59.951,BUYER_REVIEW_REQUIRED,65.524,4.719,1.988,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Mission SKU stockout trust risk,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,52.251,14.2,SHADOW_TOP_50_CANDIDATE,52.9,4,,,,,,,,,1.0,1.0,2.0,4.429,2.0,2.429,25.9,YES,MEDIUM,-24.5,0.483,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,59.5,4.0,,,,1,,,,,,,,YES,59.951,7.7,0.719,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,6.395,0.472,1.05,-0.578,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,2.0,YES,0.0,0.0,9.43,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|67282|2026-04-23|2026-05-06|772-67282-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,67282,0.0,NUTRITION WELLBEIN,WEIGHT MANAGEMENT,HOLD_FOR_REPLENISHMENT,38.124,HOLD_FOR_REPLENISHMENT,-8.71,1.199,0.994,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,1.678,14.6,SHADOW_TOP_50_CANDIDATE,50.2,5,,,,,,,,,1.0,1.0,2.0,3.505,2.0,1.505,14.2,YES,LOW,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,58.6,1.0,,,,1,,,,,,,,YES,38.124,36.446,0.199,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,3.614,0.355,-0.35,0.705,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,1.0,NO,0.0,0.0,7.099,0.0,4.82,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|90851|2026-04-09|2026-04-22|772-90851-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,90851,0.0,SKINCARE,ACNE,HOLD_FOR_REPLENISHMENT,45.885,BUYER_REVIEW_REQUIRED,24.092,2.072,0.008,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Mission SKU stockout trust risk,TOP_UP_TO_OPTIMAL,4.0,STANDARD_BUY_REVIEW,38.251,12.3,SHADOW_TOP_50_CANDIDATE,48.4,6,,,,,,,,,1.0,1.0,2.0,4.535,2.0,2.535,17.3,YES,LOW,-24.5,0.483,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,57.3,3.0,,,,1,,,,,,,,NO,45.885,7.634,-0.928,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,5.638,0.286,0.7,-0.414,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,0.0,YES,0.0,0.0,5.724,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|4995|2026-01-22|2026-02-04|772-4995-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,4995,0.0,HAIRCARE,TREATMENT,HOLD_FOR_REPLENISHMENT,29.874,HOLD_FOR_REPLENISHMENT,-5.918,2.993,1.988,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,2.782,19.7,SHADOW_TOP_50_CANDIDATE,48.1,7,,,,,,,,,1.0,1.0,2.0,3.758,2.0,1.758,13.8,YES,MEDIUM,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,58.4,4.0,,,,1,,,,,,,,YES,29.874,27.092,-1.007,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,3.387,0.202,1.05,-0.848,WRONG,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,2.0,YES,0.0,0.0,4.041,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|184677|2026-04-09|2026-04-22|772-184677-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,184677,0.0,SKINCARE,THERAPEUTIC,BUYER_REVIEW_REQUIRED,22.003,HOLD_FOR_REPLENISHMENT,2.171,6.043,1.911,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Mission SKU stockout trust risk,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,2.36,0.7,SHADOW_TOP_50_CANDIDATE,42.0,8,,,,,,,,,1.0,1.0,2.0,4.429,2.0,2.429,13.8,YES,LOW,-24.5,0.483,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,56.4,5.0,,,,1,,,,,,,,YES,22.003,19.643,1.043,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,2.95,0.176,1.05,-0.874,PARTIAL,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,2.0,YES,1.0,0.0,3.513,1.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|713775|2026-04-09|2026-04-22|772-713775-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,713775,0.0,HAIR REMOVAL,WOMENS SHAVING AID,HOLD_FOR_REPLENISHMENT,-21.753,HOLD_FOR_REPLENISHMENT,-24.509,1.676,0.013,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,3.0,STANDARD_BUY_REVIEW,-24.31,15.2,SHADOW_TOP_50_CANDIDATE,38.3,9,,,,,,,,,1.0,1.0,2.0,3.996,2.0,1.996,15.4,YES,MEDIUM,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,58.8,2.0,,,,1,,,,,,,,NO,-21.753,2.557,-0.324,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,-1.475,0.124,0.35,-0.226,RIGHT,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,0.0,YES,0.0,0.0,2.475,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|185567|2026-02-19|2026-03-04|772-185567-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,185567,0.0,DIGESTIVE CARE,HYDRATION,HOLD_FOR_REPLENISHMENT,-9.15,HOLD_FOR_REPLENISHMENT,-19.254,1.069,0.999,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,2.0,STANDARD_BUY_REVIEW,-19.139,10.3,SHADOW_TOP_50_CANDIDATE,38.0,10,,,,,,,,,1.0,1.0,2.0,2.875,2.0,0.875,13.1,YES,MEDIUM,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,58.3,2.0,,,,1,,,,,,,,YES,-9.15,9.989,-0.931,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,-0.715,0.203,0.7,-0.497,RIGHT,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,1.0,YES,0.0,0.0,4.057,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
phase5t01-20260623T023554Z,2026-06-23T02:35:54.943455+00:00,772,772|195641|2026-02-19|2026-03-04|772-195641-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,195641,0.0,ORAL HEALTH,TOOTHPASTE,BUYER_REVIEW_REQUIRED,-1.924,HOLD_FOR_REPLENISHMENT,-11.724,1.81,0.013,current_soh,promo_start_soh_resolved,expected_soh_at_promo_start_before_order,Understocked high convexity,TOP_UP_TO_OPTIMAL,4.0,STANDARD_BUY_REVIEW,-11.243,17.1,SHADOW_TOP_50_CANDIDATE,38.0,11,,,,,,,,,1.0,1.0,2.0,4.61,2.0,2.61,13.0,YES,MEDIUM,17.9,0.358,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.,58.2,3.0,,,,1,,,,,,,,NO,-1.924,9.319,-1.19,INCORRECT,PENDING,LONG_TAIL_PROTECTION_CONFIRMED,Long-tail SKU outcome supports basket-trust review.,PENDING,NO,,NOT_MERGED,MERGED,PROXY,YES,,0.858,0.129,0.7,-0.571,RIGHT,REINFORCE_LONG_TAIL_VALUE,MAINTAIN_GOVERNANCE,MAINTAIN_BASKET_EVIDENCE,1,0.0,1.0,0.0,YES,0.0,0.0,2.574,0.0,0.0,1.25,0.2,0.0,NO,NO,YES,NO,NO,INCREASE_PROTECTION_PRIORITY_CAPPED,MAINTAIN_REVIEW,REINFORCE_BASKET_TRUST_FEATURES,,NO,,NOT_MERGED,PENDING,0.0,NO,NO,NO,NO,,Awaiting buyer review.
