segment_name,segment_value,total_rows,actuals_available,raw_bias_pct,calibrated_bias_pct,bias_adjusted_bias_pct,WAPE,MAE,underforecast_rate,severe_underforecast_rate,overforecast_rate,severe_overforecast_rate,missed_units_estimate,excess_units_estimate,net_economic_risk_estimate,release_blocker_status,predicted_units_total,actual_units_total
total,all,52285,20196,-50.3291,-25.382,-23.6277,0.6729,0.628766089700679,21.14,6.93,2.95,0.2,28731.65,4143.39,54.2,model_bias_dangerously_negative,24266.74,48855.0
department,ACHE PAIN SUPPORT,147,44,-1.7609,-25.382,-23.6277,0.614,0.26731292517006805,8.16,1.36,4.76,1.36,20.21,19.08,0.0,monitor,62.87,64.0
department,ALLERGY,107,42,-17.9,-25.382,-23.6277,0.4648,0.4213177570093458,14.95,4.67,4.67,0.93,31.22,13.86,0.0,model_bias_dangerously_negative,79.64,97.0
department,ANALGESICS,99,51,-7.5805,-25.382,-23.6277,0.562,0.4938686868686868,20.2,4.04,12.12,1.01,27.74,21.15,0.0,monitor,80.41,87.0
department,ANTI FUNGAL VIRAL,23,8,-10.07,-25.382,-23.6277,0.3777,0.16421739130434784,13.04,0.0,0.0,0.0,2.39,1.39,0.0,monitor,8.99,10.0
department,BABY CARE,213,47,-12.777,-25.382,-23.6277,0.6033,0.17276995305164317,9.39,0.0,0.94,0.47,22.3,14.5,0.0,monitor,53.21,61.0
department,BATH TOILETRIES,550,269,-46.6452,-25.382,-23.6277,0.698,0.9873745454545453,24.91,10.73,4.36,0.36,452.98,90.08,1.0,model_bias_dangerously_negative,415.1,778.0
department,BEAUTY ACCESSORIES,2557,1122,-28.6041,-25.382,-23.6277,0.56,0.43777278060226826,19.71,4.93,5.55,0.27,845.59,273.79,0.0,model_bias_dangerously_negative,1427.2,1999.0
department,BEAUTY ELECTRICAL,92,56,-36.3157,-25.382,-23.6277,0.5623,0.543945652173913,28.26,5.43,2.17,0.0,41.18,8.86,0.0,model_bias_dangerously_negative,56.68,89.0
department,COLOUR COSMETICS,22702,6582,-35.3881,-25.382,-23.6277,0.6094,0.2883131001673861,14.63,2.75,1.69,0.07,5172.98,1372.3,2.0,model_bias_dangerously_negative,6939.32,10740.0
department,COUGH COLD,276,120,-22.6594,-25.382,-23.6277,0.539,0.40422826086956526,19.93,3.26,6.16,0.36,79.24,32.33,0.0,model_bias_dangerously_negative,160.09,207.0
department,DEODORANTS,626,410,-42.6826,-25.382,-23.6277,0.5549,0.8252763578274761,37.06,12.46,5.43,0.0,457.0,59.62,0.0,model_bias_dangerously_negative,533.62,931.0
department,DIGESTIVE CARE,448,203,-27.3656,-25.382,-23.6277,0.561,0.43326562500000004,18.53,5.13,5.13,0.0,144.39,49.71,0.0,model_bias_dangerously_negative,251.31,346.0
department,DISEASE STATE MGMT,10,2,6.3,-25.382,-23.6277,0.197,0.039400000000000004,0.0,0.0,0.0,0.0,0.13,0.26,0.0,monitor,2.13,2.0
department,EYES EARS,424,89,-35.1109,-25.382,-23.6277,0.6221,0.21568160377358486,10.85,2.36,1.65,0.0,71.53,19.92,0.0,model_bias_dangerously_negative,95.39,147.0
department,FAMILY PLANNING,73,32,-7.4022,-25.382,-23.6277,0.5045,0.3178767123287671,13.7,2.74,5.48,0.0,13.3,9.9,0.0,monitor,42.59,46.0
department,FEMININE CARE,392,279,-53.6715,-25.382,-23.6277,0.6238,1.478280612244898,46.94,27.55,5.87,0.26,539.05,40.44,0.0,model_bias_dangerously_negative,430.39,929.0
department,FIRSTAID WOUNDCARE,198,99,-28.5423,-25.382,-23.6277,0.5286,0.6941111111111111,26.26,8.59,8.08,1.52,105.82,31.61,0.0,model_bias_dangerously_negative,185.79,260.0
department,FOOTCARE,193,95,-21.3641,-25.382,-23.6277,0.4976,0.36610880829015546,20.73,1.55,5.18,0.0,50.5,20.16,0.0,model_bias_dangerously_negative,111.66,142.0
department,FRAGRANCE,2002,298,-29.9648,-25.382,-23.6277,0.656,0.1431958041958042,7.14,0.8,0.6,0.0,208.81,77.87,0.0,model_bias_dangerously_negative,306.05,437.0
department,GENERAL MERCHANDIS,2,2,-54.1,-25.382,-23.6277,0.541,0.541,100.0,0.0,0.0,0.0,1.08,0.0,0.0,model_bias_dangerously_negative,0.92,2.0
department,GIFTING,355,67,-38.0505,-25.382,-23.6277,0.601,0.1879154929577465,8.45,3.1,0.0,0.0,54.47,12.24,0.0,model_bias_dangerously_negative,68.76,111.0
department,HAIR ACC BRUSHES,781,485,-34.9152,-25.382,-23.6277,0.5338,0.718349551856594,31.37,10.24,6.66,0.38,464.0,97.04,0.0,model_bias_dangerously_negative,684.04,1051.0
department,HAIR REMOVAL,488,240,-32.4637,-25.382,-23.6277,0.5582,0.4472315573770492,23.57,4.92,4.92,0.2,172.59,45.66,0.0,model_bias_dangerously_negative,264.07,391.0
department,HAIRCARE,4705,2083,-50.3488,-25.382,-23.6277,0.6493,0.6586973432518598,24.57,7.84,3.06,0.17,2751.16,348.01,9.64,model_bias_dangerously_negative,2369.85,4773.0
department,HOME HEALTH,1,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.02,0.0,monitor,0.02,0.0
department,INCONTINENCE,184,73,-46.415,-25.382,-23.6277,0.635,0.5970652173913044,22.83,7.61,4.89,0.0,95.08,14.78,0.0,model_bias_dangerously_negative,92.7,173.0
department,INSOMNIA,2,1,133.7,-25.382,-23.6277,1.337,0.6685,0.0,0.0,50.0,0.0,0.0,1.34,0.0,monitor,2.34,1.0
department,MENS GROOMING,583,192,-20.0833,-25.382,-23.6277,0.5264,0.22754373927958832,12.01,1.37,2.74,0.0,91.63,41.02,0.0,model_bias_dangerously_negative,201.39,252.0
department,NUTRITION WELLBEIN,111,36,-53.7904,-25.382,-23.6277,0.7178,0.5367027027027027,15.32,3.6,0.9,0.0,52.11,7.46,4.82,model_bias_dangerously_negative,38.35,83.0
department,ORAL HEALTH,1225,749,-56.8926,-25.382,-23.6277,0.6996,1.3278595918367346,36.73,16.9,4.98,0.33,1474.69,151.94,24.1,model_bias_dangerously_negative,1002.25,2325.0
department,PAPER COTTON,58,49,-36.8521,-25.382,-23.6277,0.5167,2.3249655172413783,46.55,29.31,18.97,3.45,115.52,19.33,0.0,model_bias_dangerously_negative,164.82,261.0
department,SKINCARE,8527,4700,-65.1194,-25.382,-23.6277,0.7561,1.5844706227278058,35.78,17.36,4.44,0.52,12573.81,936.98,7.82,model_bias_dangerously_negative,6233.17,17870.0
department,SMOKING CESSATION,130,17,-1.9333,-25.382,-23.6277,0.7193,0.11620000000000001,3.85,0.0,1.54,0.0,7.76,7.35,0.0,monitor,20.59,21.0
department,SNACKS BEVERAGES,16,12,13.6273,-25.382,-23.6277,0.4185,0.8631875,18.75,6.25,25.0,6.25,4.66,9.15,0.0,monitor,37.5,33.0
department,SUNCARE,878,543,-65.4408,-25.382,-23.6277,0.745,1.6265911161731206,41.12,18.79,4.78,0.46,1341.32,86.82,4.82,model_bias_dangerously_negative,662.5,1917.0
department,TANNING,771,293,-41.7487,-25.382,-23.6277,0.614,0.45316212710765247,19.84,5.58,2.46,0.0,293.47,55.92,0.0,model_bias_dangerously_negative,331.45,569.0
department,VITAMIN SUPPLEMENT,2336,806,-48.5114,-25.382,-23.6277,0.6687,0.47235616438356165,18.11,4.67,2.18,0.09,951.93,151.49,0.0,model_bias_dangerously_negative,849.56,1650.0
category,ACNE,353,193,-63.2758,-25.382,-23.6277,0.7215,1.3674192634560907,36.83,17.56,2.83,0.57,453.01,29.69,0.0,model_bias_dangerously_negative,245.69,669.0
category,ADVANCED WOUNDCARE,8,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.14,0.0,monitor,0.14,0.0
category,AFTERSUN,35,14,-34.3583,-25.382,-23.6277,0.5431,0.3724,17.14,5.71,0.0,0.0,10.64,2.39,0.0,model_bias_dangerously_negative,15.75,24.0
category,ALKALINE URINARY,21,9,14.72,-25.382,-23.6277,0.4366,0.2079047619047619,4.76,0.0,4.76,0.0,1.45,2.92,0.0,monitor,11.47,10.0
category,ALLERGY LIQUID,15,1,30.2,-25.382,-23.6277,0.662,0.04413333333333335,0.0,0.0,0.0,0.0,0.18,0.48,0.0,monitor,1.3,1.0
category,ALLERGY SPRAY,22,10,-17.98,-25.382,-23.6277,0.4392,0.4991363636363637,18.18,4.55,4.55,0.0,7.74,3.24,0.0,model_bias_dangerously_negative,20.5,25.0
category,ALLERGY TABS CAPS,70,31,-18.5493,-25.382,-23.6277,0.471,0.4776857142857143,17.14,5.71,5.71,1.43,23.3,10.13,0.0,model_bias_dangerously_negative,57.83,71.0
category,ANTACIDS,92,49,-33.756,-25.382,-23.6277,0.5411,0.5881086956521738,26.09,7.61,6.52,0.0,43.93,10.18,0.0,model_bias_dangerously_negative,66.24,100.0
category,ANTI FUNGAL,13,5,-10.1833,-25.382,-23.6277,0.4532,0.20915384615384613,15.38,0.0,0.0,0.0,1.67,1.05,0.0,monitor,5.39,6.0
category,ANTI VIRAL,10,3,-9.9,-25.382,-23.6277,0.2645,0.1058,10.0,0.0,0.0,0.0,0.73,0.33,0.0,monitor,3.6,4.0
category,AT HOME WHITENING,109,43,-41.1778,-25.382,-23.6277,0.5625,0.41801834862385323,21.1,4.59,0.92,0.0,39.46,6.1,0.0,model_bias_dangerously_negative,47.65,81.0
category,AUSTRALIS,516,167,-41.1085,-25.382,-23.6277,0.5844,0.3193565891472868,18.02,3.88,1.36,0.0,140.36,24.43,0.0,model_bias_dangerously_negative,166.07,282.0
category,BABY FOOD,7,1,53.5,-25.382,-23.6277,0.535,0.07642857142857143,0.0,0.0,0.0,0.0,0.0,0.54,0.0,monitor,1.54,1.0
category,BABY NEEDS,189,43,-8.4357,-25.382,-23.6277,0.5694,0.1687089947089947,8.99,0.0,1.06,0.53,18.3,13.58,0.0,monitor,51.28,56.0
category,BARRY M,980,273,-37.0531,-25.382,-23.6277,0.6203,0.233569387755102,15.51,1.73,0.92,0.0,182.81,46.09,0.0,model_bias_dangerously_negative,232.27,369.0
category,BATH ACCESSORIES,191,126,-21.7585,-25.382,-23.6277,0.528,0.7131570680628272,28.27,8.38,13.09,2.09,96.18,40.04,0.0,model_bias_dangerously_negative,201.86,258.0
category,BATH BODY SEASONAL,97,3,66.0,-25.382,-23.6277,0.9513,0.029422680412371133,0.0,0.0,0.0,0.0,0.44,2.42,0.0,monitor,4.98,3.0
category,BEAUTY FROM WITHIN,252,107,-41.7276,-25.382,-23.6277,0.6538,0.4410674603174603,23.41,2.78,1.98,0.4,91.04,20.11,0.0,model_bias_dangerously_negative,99.06,170.0
category,BEAUTY TOOLS,1016,461,-30.4337,-25.382,-23.6277,0.5477,0.4064566929133859,19.98,4.53,3.84,0.0,321.22,91.74,0.0,model_bias_dangerously_negative,524.53,754.0
category,BOWEL,154,61,-20.4837,-25.382,-23.6277,0.5728,0.31989610389610384,15.58,3.25,3.9,0.0,33.44,15.82,0.0,model_bias_dangerously_negative,68.38,86.0
category,BRACE AND SUPPORT,9,3,48.9,-25.382,-23.6277,0.489,0.163,0.0,0.0,0.0,0.0,0.0,1.47,0.0,monitor,4.47,3.0
category,BROWS,120,48,-30.9342,-25.382,-23.6277,0.6232,0.39471666666666666,20.0,3.33,6.67,0.0,35.44,11.93,0.0,model_bias_dangerously_negative,52.49,76.0
category,CATRICE,801,170,4.378,-25.382,-23.6277,0.5789,0.14816853932584267,5.87,0.12,2.12,0.12,54.85,63.83,0.0,monitor,213.97,205.0
category,CCOLD TAB CAPS,36,19,-24.8548,-25.382,-23.6277,0.5069,0.43652777777777785,22.22,2.78,2.78,0.0,11.71,4.0,0.0,model_bias_dangerously_negative,23.29,31.0
category,COLOR COS MNR BRND,104,37,-47.4338,-25.382,-23.6277,0.6755,0.5196442307692308,17.31,10.58,2.88,0.0,45.99,8.05,0.0,model_bias_dangerously_negative,42.05,80.0
category,COLOURANTS,1136,272,-29.2156,-25.382,-23.6277,0.6122,0.19671038732394366,10.39,0.79,1.23,0.0,165.05,58.41,0.0,model_bias_dangerously_negative,258.36,365.0
category,COS BAGS EVERYDAY,53,12,-5.9167,-25.382,-23.6277,0.424,0.09600000000000002,3.77,0.0,0.0,0.0,2.9,2.19,0.0,monitor,11.29,12.0
category,COS BAGS SEASONAL,5,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.09,0.0,monitor,0.09,0.0
category,COSMECEUTICAL,2412,1088,-50.9591,-25.382,-23.6277,0.6448,0.7993358208955225,27.03,10.74,3.81,0.25,1725.84,202.16,4.82,model_bias_dangerously_negative,1466.32,2990.0
category,COTTON PRODUCTS,30,26,-39.4186,-25.382,-23.6277,0.498,2.4068333333333336,46.67,33.33,20.0,0.0,64.68,7.52,0.0,model_bias_dangerously_negative,87.84,145.0
category,DAILY LIVING AIDS,1,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.02,0.0,monitor,0.02,0.0
category,DAILY WELLBEING SU,308,129,-59.3012,-25.382,-23.6277,0.7001,0.7773506493506495,25.65,9.09,2.27,0.0,221.12,18.31,0.0,model_bias_dangerously_negative,139.19,342.0
category,DENTAL CARE,148,106,-60.9767,-25.382,-23.6277,0.7165,2.15922972972973,48.65,27.7,8.11,2.03,295.76,23.8,0.0,model_bias_dangerously_negative,174.04,446.0
category,DERMA COS,1105,726,-77.4012,-25.382,-23.6277,0.8792,3.6081574660633486,47.69,28.69,6.79,1.72,3748.58,238.43,0.0,model_bias_dangerously_negative,1024.85,4535.0
