segment_name,segment_value,row_count,predicted_units_total,actual_units_total,bias_pct,WAPE,excess_units,cash_drag_proxy,overstock_rows,weak_promo_rows,likely_root_cause,recommended_fix,release_impact
promo_convexity_regime,UNKNOWN,1540,3462.47,1646.0,110.3566,1.1036,1816.47,0.0,366,97,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,SKINCARE,379,1006.28,422.0,138.454,1.3845,584.28,0.0,100,34,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,COLOUR COSMETICS,384,710.18,346.0,105.2535,1.0525,364.18,0.0,81,35,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,BEAUTY ACCESSORIES,142,291.3,148.0,96.823,0.9682,143.3,0.0,24,7,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,HAIRCARE,144,310.55,169.0,83.7592,0.8376,141.55,0.0,23,4,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,ORAL HEALTH,61,156.22,60.0,160.365,1.6037,96.22,0.0,19,3,OVERSTOCK_ALREADY_HIGH,Reduce orders where overstock cash drag is high,MEDIUM
department,BATH TOILETRIES,24,92.6,30.0,208.6667,2.0867,62.6,0.0,4,2,OVERSTOCK_ALREADY_HIGH,Reduce orders where overstock cash drag is high,MEDIUM
department,HAIR ACC BRUSHES,52,114.82,60.0,91.3717,0.9137,54.82,0.0,20,1,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,VITAMIN SUPPLEMENT,51,102.78,51.0,101.5216,1.0152,51.78,0.0,14,2,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,SUNCARE,42,94.46,44.0,114.6727,1.1467,50.46,0.0,15,2,OVERSTOCK_ALREADY_HIGH,Reduce orders where overstock cash drag is high,MEDIUM
department,DEODORANTS,34,69.38,39.0,77.8872,0.7789,30.38,0.0,13,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,FEMININE CARE,23,51.42,26.0,97.7846,0.9778,25.42,0.0,5,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,HAIR REMOVAL,24,45.69,24.0,90.3625,0.9036,21.69,0.0,8,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,FIRSTAID WOUNDCARE,16,44.24,23.0,92.3652,0.9237,21.24,0.0,4,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,DIGESTIVE CARE,23,43.43,24.0,80.9625,0.8096,19.43,0.0,3,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,PAPER COTTON,11,55.22,38.0,45.3184,0.4532,17.22,0.0,7,1,OVERSTOCK_ALREADY_HIGH,Reduce orders where overstock cash drag is high,MEDIUM
department,TANNING,19,29.6,13.0,127.7231,1.2772,16.6,0.0,2,2,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,ANALGESICS,12,32.98,17.0,93.9824,0.9398,15.98,0.0,3,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
department,COUGH COLD,17,32.91,17.0,93.5588,0.9356,15.9,0.0,1,0,SUPPLIER_OR_RANGE_CONSTRAINT,Apply supplier constraint caps,MEDIUM
