segment_name,segment_value,row_count,actual_units_total,predicted_units_total,bias_pct,WAPE,missed_units,missed_gp_proxy,basket_trust_risk_proxy,long_tail_rows,mission_sku_rows,stockout_censored_count,supplier_unknown_count,likely_root_cause,recommended_fix,release_impact
mission_sku_flag,NO,11054,38495.0,10471.51,-72.7977,0.728,28023.49,6.0,16,12,0,1422,11054,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,SKINCARE,3051,15870.0,3419.15,-78.4552,0.7846,12450.85,3.0,4,8,0,618,3051,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,COLOUR COSMETICS,3321,7239.0,2328.01,-67.8407,0.6784,4910.99,2.0,2,0,0,208,3321,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,HAIRCARE,1156,3738.0,1056.07,-71.7476,0.7175,2681.93,0.0,1,1,0,164,1156,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,ORAL HEALTH,450,1977.0,526.18,-73.385,0.7338,1450.82,0.0,0,1,0,87,450,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,SUNCARE,361,1713.0,384.08,-77.5783,0.7758,1328.92,0.0,1,0,0,67,361,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,VITAMIN SUPPLEMENT,423,1237.0,320.15,-74.1185,0.7412,916.85,0.0,2,1,0,43,423,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,BEAUTY ACCESSORIES,504,1290.0,494.39,-61.6749,0.6167,795.61,0.0,2,0,0,26,504,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,FEMININE CARE,184,804.0,272.16,-66.1494,0.6615,531.84,0.0,0,0,0,17,184,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,HAIR ACC BRUSHES,245,759.0,310.43,-59.1001,0.591,448.57,0.0,0,0,0,20,245,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
department,DEODORANTS,232,722.0,279.28,-61.3188,0.6132,442.72,0.0,0,0,0,39,232,UNKNOWN_DATA_DO_NOT_LEARN,Block learning on unsafe rows; fix data quality first,BLOCKER
