store_number,promotion_id,sku_number,department,long_tail_sku_flag,mission_sku_flag,actual_units_sold_promo,model_expected_units_total_promo_raw,model_expected_units_total_promo_calibrated,segment_calibrated_expected_units,segment_bias_factor,segment_bias_factor_source,segment_calibration_eligible_flag,segment_calibration_allowed_flag,requires_human_approval_flag
772,772|101948|2025-11-13|2025-11-26|772-101948-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,101948,COLOUR COSMETICS,0.0,NO,0.0,0.032,0.037105,0.053937,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|10195|2025-11-13|2025-11-26|772-10195-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10195,VITAMIN SUPPLEMENT,0.0,NO,2.0,1.867,2.595007,3.90349,1.504231,phase6a_segment:VITAMIN SUPPLEMENT|0.0,NO,NO,YES
772,772|102031|2025-11-13|2025-11-26|772-102031-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102031,COLOUR COSMETICS,0.0,NO,0.0,0.053,0.061454,0.089332,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102054|2025-11-13|2025-11-26|772-102054-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102054,COLOUR COSMETICS,0.0,NO,0.0,0.053,0.061454,0.089332,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102080|2025-11-13|2025-11-26|772-102080-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102080,COLOUR COSMETICS,0.0,NO,0.0,0.034,0.039424,0.057308,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102082|2025-11-13|2025-11-26|772-102082-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102082,COLOUR COSMETICS,0.0,NO,0.0,0.053,0.061454,0.089332,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102088|2025-11-13|2025-11-26|772-102088-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102088,COLOUR COSMETICS,0.0,NO,0.0,0.004,0.004638,0.006742,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102282|2025-11-13|2025-11-26|772-102282-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102282,COLOUR COSMETICS,0.0,NO,1.0,0.002,0.002319,0.003371,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|10251|2025-11-13|2025-11-26|772-10251-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10251,VITAMIN SUPPLEMENT,0.0,NO,0.0,0.032,0.044478,0.066905,1.504231,phase6a_segment:VITAMIN SUPPLEMENT|0.0,NO,NO,YES
772,772|102634|2025-11-13|2025-11-26|772-102634-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102634,COLOUR COSMETICS,0.0,NO,0.0,0.053,0.061454,0.089332,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102640|2025-11-13|2025-11-26|772-102640-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102640,COLOUR COSMETICS,0.0,NO,0.0,0.053,0.061454,0.089332,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|102642|2025-11-13|2025-11-26|772-102642-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,102642,COLOUR COSMETICS,0.0,NO,0.0,0.034,0.039424,0.057308,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|10426|2025-11-13|2025-11-26|772-10426-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10426,HAIRCARE,0.0,NO,0.0,0.002,0.003075,0.004349,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|10431|2025-11-13|2025-11-26|772-10431-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10431,HAIRCARE,0.0,NO,2.0,0.006,0.009224,0.013047,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|10432|2025-11-13|2025-11-26|772-10432-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10432,HAIRCARE,0.0,NO,1.0,0.933,1.43439,2.028844,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|10433|2025-11-13|2025-11-26|772-10433-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10433,HAIRCARE,0.0,NO,1.0,0.933,1.43439,2.028844,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|10434|2025-11-13|2025-11-26|772-10434-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10434,HAIRCARE,0.0,NO,0.0,0.053,0.081482,0.115251,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
