segment_key,segment_level,row_count,actual_units_total,forecast_units_total,raw_factor,shrunk_factor,factor_applied,sample_size_ok_flag,bias_before_pct,estimated_bias_after_pct,notes
total,total,20196,48855.0,34089.7354,1.433129,1.433129,1.4331293409578492,YES,-30.2226,0.0,
ACHE PAIN SUPPORT|0.0,department+long_tail,44,64.0,81.8044,0.923824,0.923824,0.9238238014738321,YES,27.8194,18.0826,
ALLERGY|0.0,department+long_tail,42,97.0,114.0343,0.947717,0.947717,0.9477174959820635,YES,17.5611,11.4147,
ANALGESICS|0.0,department+long_tail,51,87.0,116.3664,0.911674,0.911674,0.9116735109829787,YES,33.7545,21.9404,
ANTI FUNGAL VIRAL|0.0,department+long_tail,8,10.0,12.4656,0.930774,1.299168,1.29916786673645,NO,24.6555,61.9484,insufficient_sample
BABY CARE|0.0,department+long_tail,47,61.0,70.0802,0.954651,0.954651,0.9546510874616885,YES,14.8855,9.6756,
BATH TOILETRIES|0.0,department+long_tail,266,772.0,427.205,1.807095,1.65,1.65,YES,-44.6626,-8.6932,
BATH TOILETRIES|NO,department+long_tail,3,6.0,5.1048,1.175366,1.407353,1.4073529813056167,NO,-14.9201,19.7375,insufficient_sample
BEAUTY ACCESSORIES|0.0,department+long_tail,1106,1973.0,1579.6879,1.248981,1.248981,1.2489809205104851,YES,-19.9347,0.0,
BEAUTY ACCESSORIES|NO,department+long_tail,15,25.0,27.4834,0.968374,1.200752,1.2007517690977518,NO,9.9335,32.0029,insufficient_sample
BEAUTY ACCESSORIES|YES,department+long_tail,1,1.0,1.5519,0.875528,1.414543,1.414542623447062,NO,55.1915,119.525,insufficient_sample
BEAUTY ELECTRICAL|0.0,department+long_tail,55,88.0,79.5361,1.106416,1.106416,1.1064161348262607,YES,-9.6181,0.0,
BEAUTY ELECTRICAL|NO,department+long_tail,1,1.0,1.9437,0.830072,1.413027,1.4130274356999502,NO,94.3665,174.6452,insufficient_sample
COLOUR COSMETICS|0.0,department+long_tail,6559,10700.0,7360.8448,1.453637,1.453637,1.4536374915726045,YES,-31.2071,0.0,
COLOUR COSMETICS|NO,department+long_tail,23,40.0,36.4341,1.097871,1.176098,1.176098316102328,NO,-8.9147,7.1253,insufficient_sample
COUGH COLD|0.0,department+long_tail,120,207.0,192.2063,1.076968,1.076968,1.0769677644818219,YES,-7.1467,0.0,
DEODORANTS|0.0,department+long_tail,410,931.0,877.9375,1.06044,1.06044,1.060439929849313,YES,-5.6995,-0.0,
DIGESTIVE CARE|0.0,department+long_tail,198,340.0,255.9763,1.328248,1.328248,1.3282480237847343,YES,-24.7129,0.0,
DIGESTIVE CARE|NO,department+long_tail,3,3.0,4.6501,0.875799,1.377396,1.3773963382061702,NO,55.0049,113.5032,insufficient_sample
DIGESTIVE CARE|YES,department+long_tail,2,3.0,3.0831,0.990565,1.403625,1.4036250654611255,NO,2.7703,44.251,insufficient_sample
DISEASE STATE MGMT|0.0,department+long_tail,2,2.0,2.7665,0.903027,1.397789,1.3977892164755323,NO,38.3249,93.3491,insufficient_sample
EYES EARS|0.0,department+long_tail,89,147.0,124.694,1.178886,1.178886,1.1788855250909707,YES,-15.1741,0.0,
FAMILY PLANNING|0.0,department+long_tail,31,45.0,56.6139,0.9282,0.9282,0.9282003282587239,YES,25.8086,16.7756,
FAMILY PLANNING|NO,department+long_tail,1,1.0,2.2105,0.808333,1.412303,1.4123027985740837,NO,121.053,212.1938,insufficient_sample
FEMININE CARE|0.0,department+long_tail,279,929.0,755.3574,1.229881,1.229881,1.2298814040586648,YES,-18.6913,0.0,
FIRSTAID WOUNDCARE|0.0,department+long_tail,99,260.0,219.836,1.1827,1.1827,1.182700040599818,YES,-15.4477,0.0,
FOOTCARE|0.0,department+long_tail,95,142.0,106.9235,1.328053,1.328053,1.3280525723265377,YES,-24.7018,0.0,
FRAGRANCE|0.0,department+long_tail,298,437.0,370.5195,1.179425,1.179425,1.17942515541234,YES,-15.2129,0.0,
GENERAL MERCHANDIS|0.0,department+long_tail,2,2.0,1.361,1.469497,1.435554,1.435553846076007,NO,-31.9495,-2.3098,insufficient_sample
GIFTING|0.0,department+long_tail,67,111.0,88.8022,1.249969,1.249969,1.24996879300885,YES,-19.998,0.0,
