node_name,populated_flag,edge_count,kg_edge_count,kg_sku_count
raw_transaction_history,YES,1,210978,11283
raw_stock_position,NO,1,210978,11283
raw_supplier_history,NO,1,210978,11283
raw_promo_advice,NO,1,210978,11283
basket_attachment,NO,1,210978,11283
mission_sku_role,NO,2,210978,11283
available_to_sell_confidence,NO,2,210978,11283
promo_uplift_estimate,NO,4,210978,11283
optimal_stock_target,NO,1,210978,11283
adjacent_path_simulation,YES,2,210978,11283
brain_forecast,YES,5,210978,11283
bias_calibration,NO,2,210978,11283
governance_constraints,YES,4,210978,11283
human_review,YES,2,210978,11283
realised_outcome,YES,2,210978,11283
lesson_update,YES,1,210978,11283
