store_number,promotion_id,sku_number,kg_basket_centrality_score,kg_substitute_availability_score,kg_supplier_dependency_score,kg_mission_role_strength,kg_history_similarity_score,kg_stockout_memory_score,kg_human_override_memory_score,dag_state_coverage_score,dag_missing_state_count,dag_decision_path_quality
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,92331,0.0,0.4,0.8,0.098,0.3857,1.0,0.0,0.5,8,PARTIAL
772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,193148,0.0,0.7,0.8,0.083,0.1385,0.0,0.0,0.5,8,PARTIAL
772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,51070,0.0,0.7,1.0,0.11599999999999999,0.1385,0.0,0.0,0.5,8,PARTIAL
772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195422,0.0,0.7,0.8,0.141,0.1357,0.0,0.0,0.5,8,PARTIAL
772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195434,0.0,0.7,0.8,0.11199999999999999,0.1357,0.0,0.0,0.5,8,PARTIAL
772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,44175,0.0,0.7,0.8,0.076,0.1714,0.0,0.0,0.5,8,PARTIAL
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,185192,0.0,0.7,0.8,0.17300000000000001,0.1714,0.0,0.0,0.5,8,PARTIAL
772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,188146,0.0,0.7,0.8,0.11599999999999999,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190060,0.0,0.7,0.8,0.09,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190062,0.0,0.7,0.8,0.12300000000000001,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190065,0.0,0.7,0.8,0.111,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190084,0.0,0.7,0.8,0.126,0.1714,0.0,0.0,0.5,8,PARTIAL
772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190099,0.0,0.7,0.8,0.096,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190135,0.0,0.7,0.8,0.135,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190274,0.0,0.7,0.8,0.10300000000000001,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|190275|2025-12-25|2026-01-14|772-190275-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190275,0.0,0.7,1.0,0.079,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|192177|2025-12-25|2026-01-14|772-192177-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,192177,0.0,0.7,0.8,0.113,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|197262|2025-12-25|2026-01-14|772-197262-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,197262,0.0,0.7,0.8,0.115,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|198934|2025-12-25|2026-01-14|772-198934-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,198934,0.0,0.7,0.8,0.157,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|199044|2025-12-25|2026-01-14|772-199044-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,199044,0.0,0.7,0.8,0.141,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|20866|2025-12-25|2026-01-14|772-20866-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,20866,0.0,0.7,0.8,0.172,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|21072|2025-12-25|2026-01-14|772-21072-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,21072,0.0,0.7,0.8,0.136,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|22069|2025-12-25|2026-01-14|772-22069-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,22069,0.0,0.7,0.8,0.158,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|23075|2025-12-25|2026-01-14|772-23075-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,23075,0.0,0.7,0.8,0.191,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|24919|2025-12-25|2026-01-14|772-24919-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,24919,0.0,0.7,0.8,0.201,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|295000|2025-12-25|2026-01-14|772-295000-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,295000,0.0,0.7,0.8,0.12,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|298522|2025-12-25|2026-01-14|772-298522-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,298522,0.0,0.7,1.0,0.129,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|306779|2025-12-25|2026-01-14|772-306779-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,306779,0.0,0.7,0.8,0.14300000000000002,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|36995|2025-12-25|2026-01-14|772-36995-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,36995,0.0,0.7,0.8,0.135,0.1714,0.0,0.0,0.5,8,PARTIAL
772,772|388823|2025-12-25|2026-01-14|772-388823-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,388823,0.0,0.7,0.8,0.154,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|415278|2025-12-25|2026-01-14|772-415278-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,415278,0.0,0.7,0.8,0.138,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|49493|2025-12-25|2026-01-14|772-49493-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,49493,0.0,0.7,0.8,0.11699999999999999,0.1952,0.0,0.0,0.5,8,PARTIAL
772,772|49817|2025-12-25|2026-01-14|772-49817-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,49817,0.0,0.7,0.8,0.12300000000000001,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|51409|2025-12-25|2026-01-14|772-51409-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,51409,0.0,0.7,0.8,0.153,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|61289|2025-12-25|2026-01-14|772-61289-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,61289,0.0,0.7,0.8,0.106,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|711578|2025-12-25|2026-01-14|772-711578-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,711578,0.0,0.7,0.8,0.085,0.1238,0.0,0.0,0.5,8,PARTIAL
772,772|88789|2025-12-25|2026-01-14|772-88789-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,88789,0.0,0.7,0.8,0.122,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|90087|2025-12-25|2026-01-14|772-90087-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90087,0.0,0.7,0.8,0.10800000000000001,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|90095|2025-12-25|2026-01-14|772-90095-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90095,0.0,0.7,0.8,0.091,0.1476,0.0,0.0,0.5,8,PARTIAL
772,772|90103|2025-12-25|2026-01-14|772-90103-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90103,0.0,0.7,0.8,0.125,0.1714,0.0,0.0,0.5,8,PARTIAL
772,772|92214|2025-12-25|2026-01-14|772-92214-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,92214,0.0,0.7,0.8,0.161,0.1952,0.0,0.0,0.5,8,PARTIAL
772,772|92642|2025-12-25|2026-01-14|772-92642-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,92642,0.0,0.7,0.8,0.11900000000000001,0.1238,0.0,0.0,0.5,8,PARTIAL
