store_number,promotion_id,sku_number,department,category,new_line_flag,weak_history_flag,history_strength_score,nearest_adjacent_simulation_required_flag,adjacent_reference_count,adjacent_reference_quality,adjacent_expected_units,adjacent_confidence_score,new_line_adjacent_path_confidence,new_line_decision_support_reason,adjacent_path_warning,model_expected_units_total_promo,actual_units_sold_promo,does_not_default_to_zero
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,92331,SKINCARE,COSMECEUTICAL,NO,NO,0.3857,YES,5,HIGH,1.3966,0.9386,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.089,4.0,YES
772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,193148,COLOUR COSMETICS,NYX,NO,YES,0.1385,YES,5,HIGH,0.6897,0.9238,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.3,1.0,YES
772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,51070,COLOUR COSMETICS,NYX,NO,YES,0.1385,YES,5,HIGH,0.6897,0.9238,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.3,1.0,YES
772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195422,COLOUR COSMETICS,NYX,NO,YES,0.1357,YES,5,HIGH,0.6897,0.9236,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195434,COLOUR COSMETICS,NYX,NO,YES,0.1357,YES,5,HIGH,0.6897,0.9236,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,44175,BEAUTY ACCESSORIES,MANICURE PEDICURE,NO,YES,0.1714,YES,5,HIGH,0.6818,0.9271,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,2.0,YES
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,185192,SUNCARE,SUN PROTECTION,NO,YES,0.1714,YES,5,HIGH,2.5,0.9271,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,3.0,YES
772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,188146,SUNCARE,SUN PROTECTION,NO,YES,0.1238,YES,5,HIGH,2.5,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190060,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1238,YES,5,HIGH,0.7419,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.968,1.0,YES
772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190062,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1238,YES,5,HIGH,0.7419,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190065,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1476,YES,5,HIGH,0.7419,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.354,2.0,YES
772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190084,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1714,YES,5,HIGH,0.7419,0.9271,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.35,3.0,YES
772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190099,BEAUTY ACCESSORIES,TRAVEL ACCESSORIES,NO,YES,0.1476,YES,2,MEDIUM,0.6667,0.7248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.793,2.0,YES
772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190135,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1476,YES,5,HIGH,0.7419,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.565,2.0,YES
772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190274,HAIR ACC BRUSHES,HAIR ACCESSORIES,NO,YES,0.1476,YES,5,HIGH,1.4286,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.858,2.0,YES
772,772|190275|2025-12-25|2026-01-14|772-190275-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190275,HAIR ACC BRUSHES,HAIR ACCESSORIES,NO,YES,0.1238,YES,5,HIGH,1.4286,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.792,1.0,YES
772,772|192177|2025-12-25|2026-01-14|772-192177-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,192177,HAIRCARE,TREATMENT,NO,YES,0.1476,YES,5,HIGH,1.2083,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.363,2.0,YES
772,772|197262|2025-12-25|2026-01-14|772-197262-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,197262,BEAUTY ACCESSORIES,BEAUTY TOOLS,NO,YES,0.1476,YES,5,HIGH,0.7419,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.398,2.0,YES
772,772|198934|2025-12-25|2026-01-14|772-198934-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,198934,BEAUTY ACCESSORIES,FASHION ACCESS,NO,YES,0.1238,YES,3,HIGH,0.75,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.318,1.0,YES
772,772|199044|2025-12-25|2026-01-14|772-199044-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,199044,SUNCARE,SUN PROTECTION,NO,YES,0.1238,YES,5,HIGH,2.5,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|20866|2025-12-25|2026-01-14|772-20866-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,20866,HAIRCARE,SHAMPOO CONDITIONE,NO,YES,0.1476,YES,5,HIGH,1.4561,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.363,2.0,YES
772,772|21072|2025-12-25|2026-01-14|772-21072-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,21072,COLOUR COSMETICS,SALLY HANSEN,NO,YES,0.1476,YES,5,HIGH,0.2821,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.331,2.0,YES
772,772|22069|2025-12-25|2026-01-14|772-22069-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,22069,VITAMIN SUPPLEMENT,DIGESTIVE HLTH SUP,NO,YES,0.1476,YES,5,HIGH,0.3333,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.366,2.0,YES
772,772|23075|2025-12-25|2026-01-14|772-23075-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,23075,BEAUTY ELECTRICAL,HAIR ELECTRICAL,NO,YES,0.1238,YES,1,MEDIUM,0.5,0.6724,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.311,1.0,YES
772,772|24919|2025-12-25|2026-01-14|772-24919-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,24919,SKINCARE,COSMECEUTICAL,NO,YES,0.1238,YES,5,HIGH,1.3966,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.374,1.0,YES
772,772|295000|2025-12-25|2026-01-14|772-295000-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,295000,HAIR REMOVAL,WOMENS SHAVING AID,NO,YES,0.1238,YES,5,HIGH,1.0,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|298522|2025-12-25|2026-01-14|772-298522-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,298522,HAIRCARE,SHAMPOO CONDITIONE,NO,YES,0.1476,YES,5,HIGH,1.4561,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.375,2.0,YES
772,772|306779|2025-12-25|2026-01-14|772-306779-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,306779,COLOUR COSMETICS,LOREAL,NO,YES,0.1238,YES,5,HIGH,0.5714,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.331,1.0,YES
772,772|36995|2025-12-25|2026-01-14|772-36995-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,36995,SUNCARE,SUN PROTECTION,NO,YES,0.1714,YES,5,HIGH,2.5,0.9271,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,3.0,YES
772,772|388823|2025-12-25|2026-01-14|772-388823-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,388823,SKINCARE,THERAPEUTIC,NO,YES,0.1238,YES,5,HIGH,1.3784,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.843,1.0,YES
772,772|415278|2025-12-25|2026-01-14|772-415278-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,415278,HAIRCARE,DRY SHAMPOO,NO,YES,0.1476,YES,5,HIGH,0.8182,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,2.0,YES
772,772|49493|2025-12-25|2026-01-14|772-49493-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,49493,BATH TOILETRIES,PERSONAL WASH,NO,YES,0.1952,YES,5,HIGH,0.9091,0.9295,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.695,4.0,YES
772,772|49817|2025-12-25|2026-01-14|772-49817-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,49817,BATH TOILETRIES,PERSONAL WASH,NO,YES,0.1238,YES,5,HIGH,0.9091,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.311,1.0,YES
772,772|51409|2025-12-25|2026-01-14|772-51409-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,51409,TANNING,TANNING SKIN,NO,YES,0.1476,YES,5,HIGH,1.2857,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.648,2.0,YES
772,772|61289|2025-12-25|2026-01-14|772-61289-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,61289,HAIRCARE,SHAMPOO CONDITIONE,NO,YES,0.1238,YES,5,HIGH,1.4561,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|711578|2025-12-25|2026-01-14|772-711578-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,711578,DIGESTIVE CARE,ANTACIDS,NO,YES,0.1238,YES,4,HIGH,1.2,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.396,1.0,YES
772,772|88789|2025-12-25|2026-01-14|772-88789-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,88789,NUTRITION WELLBEIN,SPORTS NUTRITION,NO,YES,0.1476,YES,0,LOW,2.0,0.3748,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.323,2.0,YES
772,772|90087|2025-12-25|2026-01-14|772-90087-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90087,COLOUR COSMETICS,LOREAL,NO,YES,0.1476,YES,5,HIGH,0.5714,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.331,2.0,YES
772,772|90095|2025-12-25|2026-01-14|772-90095-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90095,COLOUR COSMETICS,LOREAL,NO,YES,0.1476,YES,5,HIGH,0.5714,0.9248,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.749,2.0,YES
772,772|90103|2025-12-25|2026-01-14|772-90103-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,90103,COLOUR COSMETICS,LOREAL,NO,YES,0.1714,YES,5,HIGH,0.5714,0.9271,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.331,3.0,YES
772,772|92214|2025-12-25|2026-01-14|772-92214-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,92214,SKINCARE,EVERYDAY SKIN,NO,YES,0.1952,YES,5,HIGH,2.5571,0.9295,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,4.0,YES
772,772|92642|2025-12-25|2026-01-14|772-92642-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,92642,SUNCARE,SUN PROTECTION,NO,YES,0.1238,YES,5,HIGH,2.5,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|92705|2025-12-25|2026-01-14|772-92705-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,92705,COLOUR COSMETICS,RIMMEL,NO,YES,0.1238,YES,5,HIGH,0.3472,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|93461|2025-12-25|2026-01-14|772-93461-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,93461,HAIR REMOVAL,WOMENS SHAVING AID,NO,YES,0.1238,YES,5,HIGH,1.0,0.9224,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,1.0,YES
772,772|191176|2026-01-22|2026-02-04|772-191176-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,191176,COLOUR COSMETICS,MAYBELLINE,NO,YES,0.2071,YES,5,HIGH,0.6143,0.9307,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.4,3.0,YES
772,772|30536|2026-01-22|2026-02-04|772-30536-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,30536,COLOUR COSMETICS,MAYBELLINE,NO,YES,0.1357,YES,5,HIGH,0.6143,0.9236,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.395,1.0,YES
772,772|369403|2026-01-22|2026-02-04|772-369403-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,369403,INCONTINENCE,INCONTINENCE MEN,NO,YES,0.2071,YES,1,MEDIUM,3.5,0.6807,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.771,3.0,YES
772,772|4995|2026-01-22|2026-02-04|772-4995-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,4995,HAIRCARE,TREATMENT,NO,YES,0.2429,YES,5,HIGH,1.2083,0.9243,,SIMULATED_FROM_GROUP_ADJACENT_REFS,ADVISORY_SIMULATION_NOT_DEPLOYED,1.515,4.0,YES
