segment_key,row_count,bias_pct,wape,eligibility_before,eligibility_after,eligibility_status,eligibility_blocker_before,eligibility_blocker_after,ats_support_flag,feature_merge_support_flag,human_review_support_flag,safe_for_human_approval_review_flag,deployment_status
ACHE PAIN SUPPORT|UNKNOWN,3,14.3,,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
ALLERGY|UNKNOWN,3,-27.3,0.438333,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
ANALGESICS|UNKNOWN,2,11.6,,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
ANTI FUNGAL VIRAL|UNKNOWN,2,-6.5,0.069,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BABY CARE|UNKNOWN,4,2.2,0.156,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BATH TOILETRIES|NO,3,-26.5667,0.502667,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BATH TOILETRIES|UNKNOWN,8,-24.075,0.35975,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BEAUTY ACCESSORIES|NO,15,-10.456,0.40264,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BEAUTY ACCESSORIES|UNKNOWN,67,-29.9022,0.557778,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BEAUTY ACCESSORIES|YES,1,40.0,0.4,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BEAUTY ELECTRICAL|NO,1,31.1,0.311,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
BEAUTY ELECTRICAL|UNKNOWN,1,3.4,,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
COLOUR COSMETICS|NO,24,-17.2975,0.469575,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
COLOUR COSMETICS|UNKNOWN,667,-31.4449,0.635627,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
COUGH COLD|UNKNOWN,11,-56.2533,0.731467,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
DEODORANTS|UNKNOWN,22,-52.6792,0.534333,0,0,STILL_BLOCKED,not_segment_calibration_eligible,not_segment_calibration_eligible,NO,YES,YES,NO,PROPOSED_NOT_DEPLOYED
