feature_name,min_value,max_value,median_value,outlier_reason,recommended_transform,cap_lower,cap_upper,add_outlier_flag,trainability_after_transform
capital_at_risk_adjusted_dollars,0.11,1064.56,9.47,capital_at_risk_per_unit_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_capital_at_risk,0.0,6149.38,21.24,capital_at_risk_per_unit_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_profit_risk_asymmetry,0.0,16857.117659657564,2.22167114182752,profit_risk_asymmetry_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_allocation_vs_baseline_demand_ratio,0.0,3850.9316770186338,42.01680672268907,allocation_vs_demand_ratio_extreme,cap_by_percentile,0.0,840.3361344537814,YES,MODEL_READY
feature_allocation_vs_required_implied_demand_ratio,0.0,3850.9316770186338,0.5000250012500626,allocation_vs_demand_ratio_extreme,cap_by_percentile,0.0,100.0,YES,MODEL_READY
feature_total_stock_pressure_ratio,0.0,3850.9316770186338,1.7500875043752186,numeric_outlier_tail,cap_by_percentile,0.0,100.0,YES,MODEL_READY
feature_stock_to_promo_days_ratio,0.0,49.857142857142854,0.4285714285714285,numeric_outlier_tail,cap_by_percentile,0.0,100.0,YES,MODEL_READY
feature_same_discount_prior_uplift_ratio_avg,-1.0,185.33540372670808,-0.625,numeric_outlier_tail,cap_by_percentile,-1.0,100.0,YES,MODEL_READY
feature_same_discount_prior_uplift_ratio_median,-1.0,185.33540372670808,-0.9047619047619048,numeric_outlier_tail,cap_by_percentile,-1.0,100.0,YES,MODEL_READY
feature_same_discount_prior_uplift_ratio_std,0.0,146.3989195003204,0.37101622917876786,numeric_outlier_tail,cap_by_percentile,0.0,100.0,YES,MODEL_READY
feature_discount_elasticity_estimate,-791409.8287025549,365990.0662864209,0.0,discount_elasticity_estimate_explosion,winsorise,-5.0,5.0,YES,MODEL_READY_WITH_MISSINGNESS_FLAG
feature_discount_elasticity_abs,0.0,791409.8287025549,0.439178876678877,discount_elasticity_estimate_explosion,winsorise,-5.0,5.0,YES,MODEL_READY_WITH_MISSINGNESS_FLAG
feature_discount_elasticity_confidence_score,0.0,0.7586380093737203,0.001960903574482,discount_elasticity_estimate_explosion,winsorise,-5.0,5.0,YES,MODEL_READY_WITH_MISSINGNESS_FLAG
feature_discount_response_slope,-1581889.506375361,731687.4575898059,0.0,discount_response_slope_extreme,winsorise,-5.0,5.0,YES,MODEL_READY_WITH_MISSINGNESS_FLAG
feature_local_equilibrium_gap_units,-706.8272,0.1722,-3.0,local_equilibrium_gap_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_local_equilibrium_gap_dollars,-12454.295264,1.170484,-23.28,local_equilibrium_gap_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_probability_excess_capital_at_risk,0.0,5673.64,14.38333333333333,capital_at_risk_per_unit_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_uplift_supported_excess_capital_at_risk,0.0,6146.827684266666,20.108706933333337,capital_at_risk_per_unit_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
feature_demand_pressure_vs_total_available_stock_ratio,0.0,20.0,0.0006663513775708,numeric_outlier_tail,cap_by_percentile,0.0,100.0,YES,MODEL_READY
feature_capital_at_risk_per_expected_unit,0.0,826497.8114969364,3485.7142857142862,capital_at_risk_per_unit_extreme,add_outlier_flag,,,YES,SPARSE_SIGNAL_KEEP
