column,non_null_rows,null_rows,distinct_values,all_null,all_zero_numeric,constant,is_internal_leak_field,is_canonical_demand_field,is_legacy_demand_field
priority_rank,3597,0,3597,False,False,False,False,False,False
priority_band,3597,0,4,False,False,False,False,False,False
sku_number,3597,0,3597,False,False,False,False,False,False
sku_description,3597,0,3596,False,False,False,False,False,False
operator_decision,3597,0,7,False,False,False,False,False,False
operator_action,3597,0,3,False,False,False,False,False,False
order_units,3597,0,2,False,False,False,False,False,False
reason_short,3597,0,7,False,False,False,False,False,False
risk_flag,3597,0,6,False,False,False,False,False,False
review_flag,3597,0,2,False,False,False,False,False,False
audit_notes,3597,0,3471,False,False,False,False,False,False
current_soh,3597,0,29,False,False,False,False,False,False
on_order_at_advice_time,3597,0,4,False,False,False,False,False,False
expected_units_before_promo_start,3597,0,4,False,False,False,False,False,False
projected_SOH_at_promo_start,3597,0,29,False,False,False,False,False,False
target_SOH_at_promo_start,3597,0,16,False,False,False,False,False,False
floor_units_required,3597,0,1,False,False,True,False,False,False
expected_promo_demand,3597,0,10,False,False,False,False,False,True
available_to_sell_before_floor,3597,0,27,False,False,False,False,False,False
projected_stock_gap_units,3597,0,13,False,False,False,False,False,False
discount_percent,3597,0,179,False,False,False,False,False,False
