field,value,row_count
report.expected_promo_demand,0,2.0
report.expected_promo_demand,1,3573.0
report.expected_promo_demand,2,7.0
report.expected_promo_demand,3,4.0
report.expected_promo_demand,4,4.0
report.expected_promo_demand,5,1.0
report.expected_promo_demand,6,1.0
report.expected_promo_demand,9,1.0
report.expected_promo_demand,11,2.0
report.expected_promo_demand,14,2.0
report.expected_units_before_promo_start,0,3408.0
report.expected_units_before_promo_start,1,184.0
report.expected_units_before_promo_start,2,4.0
report.expected_units_before_promo_start,7,1.0
feature.expected_promo_demand,0,2.0
feature.expected_promo_demand,1,3573.0
feature.expected_promo_demand,2,7.0
feature.expected_promo_demand,3,4.0
feature.expected_promo_demand,4,4.0
feature.expected_promo_demand,5,1.0
feature.expected_promo_demand,6,1.0
feature.expected_promo_demand,9,1.0
feature.expected_promo_demand,11,2.0
feature.expected_promo_demand,14,2.0
feature.expected_units_total_promo,0,2.0
feature.expected_units_total_promo,1,3573.0
feature.expected_units_total_promo,2,7.0
feature.expected_units_total_promo,3,4.0
feature.expected_units_total_promo,4,4.0
feature.expected_units_total_promo,5,1.0
feature.expected_units_total_promo,6,1.0
feature.expected_units_total_promo,9,1.0
feature.expected_units_total_promo,11,2.0
feature.expected_units_total_promo,14,2.0
feature.expected_units_first_7_days,0,2.0
feature.expected_units_first_7_days,1,3576.0
feature.expected_units_first_7_days,2,5.0
feature.expected_units_first_7_days,3,4.0
feature.expected_units_first_7_days,4,4.0
feature.expected_units_first_7_days,5,3.0
feature.expected_units_first_7_days,9,2.0
feature.expected_units_first_7_days,12,1.0
feature.feature_expected_total_units_first_7_days,min,0.0
feature.feature_expected_total_units_first_7_days,median,0.467
feature.feature_expected_total_units_first_7_days,p90,1.4
feature.feature_expected_total_units_first_7_days,p95,3.507
feature.feature_expected_total_units_first_7_days,p99,7.0
feature.feature_expected_total_units_first_7_days,max,130.435
feature.feature_expected_total_units_first_7_days,mean,0.793
feature.feature_expected_total_units_first_7_days,sum,2852.154
feature.feature_probability_expected_units_consensus,min,0.0
feature.feature_probability_expected_units_consensus,median,0.667
feature.feature_probability_expected_units_consensus,p90,5.564
feature.feature_probability_expected_units_consensus,p95,14.0
feature.feature_probability_expected_units_consensus,p99,17.825
feature.feature_probability_expected_units_consensus,max,47.895
feature.feature_probability_expected_units_consensus,mean,2.023
feature.feature_probability_expected_units_consensus,sum,7277.652
feature.historical_units_same_discount_avg,min,0.0
feature.historical_units_same_discount_avg,median,0.333
feature.historical_units_same_discount_avg,p90,2.0
feature.historical_units_same_discount_avg,p95,3.047
feature.historical_units_same_discount_avg,p99,6.504
feature.historical_units_same_discount_avg,max,49.818
feature.historical_units_same_discount_avg,mean,0.817
feature.historical_units_same_discount_avg,sum,2939.599
feature.feature_pre_promo_rolling_demand_units,min,0.0
feature.feature_pre_promo_rolling_demand_units,median,14.0
feature.feature_pre_promo_rolling_demand_units,p90,14.0
feature.feature_pre_promo_rolling_demand_units,p95,21.0
feature.feature_pre_promo_rolling_demand_units,p99,28.0
feature.feature_pre_promo_rolling_demand_units,max,140.0
feature.feature_pre_promo_rolling_demand_units,mean,9.261
feature.feature_pre_promo_rolling_demand_units,sum,33313.309
feature.feature_pre_promo_baseline_daily_units,min,0.0
feature.feature_pre_promo_baseline_daily_units,median,1.0
feature.feature_pre_promo_baseline_daily_units,p90,1.0
feature.feature_pre_promo_baseline_daily_units,p95,1.5
feature.feature_pre_promo_baseline_daily_units,p99,2.0
feature.feature_pre_promo_baseline_daily_units,max,10.0
feature.feature_pre_promo_baseline_daily_units,mean,0.662
feature.feature_pre_promo_baseline_daily_units,sum,2379.522
