sku_number,report_expected_promo_demand,order_units,projected_stock_gap_units,expected_promo_demand,expected_units_total_promo,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,feature_pre_promo_rolling_demand_units,demand_evidence_label,demand_evidence_class,feature_signal_max,final_minus_feature,feature_exceeds_final_by
62472,1,0,1,1,1,130.43478260869566,8.5,3.0,14.0,NO_DEMAND,low_nonzero_demand,130.43478260869566,-129.43478260869566,129.43478260869566
63361,1,0,53,1,1,51.20596666666666,19.125,0.0,0.0,NO_DEMAND,low_nonzero_demand,51.20596666666666,-50.20596666666666,50.20596666666666
194048,1,0,0,1,1,1.05,47.89473684210526,49.8182,24.5,NO_DEMAND,low_nonzero_demand,49.8182,-48.8182,48.8182
98062,1,0,3,1,1,2.8000000000000003,42.0,0.0,42.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,42.0,-41.0,41.0
613487,3,0,0,3,3,6.559259259259259,35.77777777777777,0.0,35.77777777777777,NEVER_SOLD_IN_PROMO,healthy_nonzero_demand,35.77777777777777,-32.77777777777777,32.77777777777777
194746,3,0,0,3,3,3.2666666666666666,34.333333333333336,0.0,14.0,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,34.333333333333336,-31.333333333333336,31.333333333333336
88478,1,0,0,1,1,1.8666666666666667,30.0,4.0,56.0,NO_DEMAND,low_nonzero_demand,30.0,-29.0,29.0
46535,1,0,0,1,1,0.9333333333333332,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
63582,1,0,1,1,1,1.4,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
96317,1,0,0,1,1,1.4,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
66937,1,0,0,1,1,1.4,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
97170,1,0,0,1,1,1.4,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
87827,1,0,1,1,1,1.4,28.0,0.0,28.0,NEVER_SOLD_IN_PROMO,low_nonzero_demand,28.0,-27.0,27.0
20925,2,0,3,2,2,6.666666666666667,25.0,0.0,25.0,NEVER_SOLD_IN_PROMO,healthy_nonzero_demand,25.0,-23.0,23.0
194879,1,0,1,1,1,23.809523809523817,7.5,1.0,14.0,NO_DEMAND,low_nonzero_demand,23.809523809523817,-22.809523809523817,22.809523809523817
23575,1,0,0,1,1,0.7777777777777778,23.333333333333336,0.0,23.333333333333336,NEVER_SOLD_IN_PROMO,low_nonzero_demand,23.333333333333336,-22.333333333333336,22.333333333333336
