sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,reason_short,audit_notes
188296,Estee Beaut Magnolia Edp 50Ml,BUY_NOW,LOW_SOH_NO_AUTO_BUY,DO_NOT_BUY,0,1,2,Do not auto-order.,demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=54; capital_risk=$63.09; risk_reward=1.09; sku_bias=NO_COMPARABLE_EVENTS
45502,Estee Spellbound 50Ml,BUY_NOW,LOW_SOH_NO_AUTO_BUY,DO_NOT_BUY,0,1,2,Do not auto-order.,demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=48; capital_risk=$45.75; risk_reward=0.96; sku_bias=NO_COMPARABLE_EVENTS
191354,Clinique Happy M C/Spray 100Ml,BUY_NOW,LOW_SOH_NO_AUTO_BUY,DO_NOT_BUY,0,1,2,Do not auto-order.,demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=51; capital_risk=$43.38; risk_reward=1.02; sku_bias=NO_COMPARABLE_EVENTS
55696,Fudge Shaper Wax 75G,BUY_NOW,LOW_SOH_NO_AUTO_BUY,DO_NOT_BUY,0,1,2,Do not auto-order.,demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$5.72; risk_reward=1.15; sku_bias=NO_COMPARABLE_EVENTS
63361,Avene Cleanance Clns Gel 200Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,53,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=44; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$349.02; risk_reward=0.04; sku_bias=NO_COMPARABLE_EVENTS
50676,Lor Excel 7.1 Dark Ash Blonde,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=12; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$124.52; risk_reward=0.12; sku_bias=NO_COMPARABLE_EVENTS
75188,Live Col Perm 7.98 Violet Red,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,15,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=12; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$58.61; risk_reward=0.14; sku_bias=NO_COMPARABLE_EVENTS
187749,Garn Olia Drk Blond 7.0,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=9; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$61.37; risk_reward=0.20; sku_bias=NO_COMPARABLE_EVENTS
193061,Mf Facefinity Fndn Warm Almond,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=9; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$48.82; risk_reward=0.24; sku_bias=NO_COMPARABLE_EVENTS
95053,Nautica Peach Bite Bm 236,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,9,9,Forecast requires manager review.,review=Forecast requires manager review; demand=NEVER_SOLD_IN_PROMO; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=7; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$47.05; risk_reward=2.70; sku_bias=NO_COMPARABLE_EVENTS
94509,Rabanne Invictus Edt 200Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=58; capital_risk=$434.98; risk_reward=0.23; sku_bias=NO_COMPARABLE_EVENTS
67898,Dr Lew Ultr R4 Trio Pack,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=7; provisional_units=0; final_units=0; confidence_pct=63; capital_risk=$299.46; risk_reward=0.25; sku_bias=NO_COMPARABLE_EVENTS
196422,Scholl F/A Skin Tag Remover,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$72.26; risk_reward=0.25; sku_bias=NO_COMPARABLE_EVENTS
354929,Tena Pad Day Night 14,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,6,8,Forecast requires manager review.,review=Forecast requires manager review; demand=CREDIBLE_PROMO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=5; final_units=0; confidence_pct=17; capital_risk=$29.37; risk_reward=1.44; sku_bias=NO_COMPARABLE_EVENTS
91588,Hair Resq Thck Shine Boost Sp,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=60; capital_risk=$21.82; risk_reward=0.36; sku_bias=NO_COMPARABLE_EVENTS
190034,Scholl Expertcare 3X Oil Mask,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=34; capital_risk=$16.00; risk_reward=0.22; sku_bias=NO_COMPARABLE_EVENTS
13628,Vagisil Oatmeal Wipes 12 Pack,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=51; capital_risk=$8.83; risk_reward=0.29; sku_bias=NO_COMPARABLE_EVENTS
199005,Esi Gel Co 370 Model Clicks,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$1.78; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
194249,Ck My Euphoria For W Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=69; capital_risk=$206.50; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
195575,Jojoba Exfol Pha Tonic 125Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$57.62; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
196365,Pref Acidic Toner Pearly Boost,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$45.63; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
196364,Pref Acidic Toner Platinum Ice,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$45.34; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
22454,The Ord Niacinamide Zinc 30Ml,REVIEW,HOLD_STOCK_FLOOR_SAFE,REVIEW,0,14,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=36; capital_risk=$41.21; risk_reward=2.18; sku_bias=NO_COMPARABLE_EVENTS
95561,Slt Luxe Wrm Booties Navy 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$33.71; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
198076,Mf Mir Pure Eye Con Buff,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$33.24; risk_reward=0.39; sku_bias=NO_COMPARABLE_EVENTS
782211,Sukin Rosehip Oil Cream 120,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$31.31; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
95565,Slt Luxe Knit Scarf Ecru 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$30.83; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
95564,Slt Luxe Long Body Hwb Asst 26,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$26.66; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
