sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
63361,7,1,6,7.0,0,7,53,1,1,7,0.0,0.0
199056,2,1,1,2.0,1,3,11,1,1,2,0.0,0.0
50676,2,1,1,2.0,0,1,15,1,1,2,0.0,0.0
75188,2,1,1,2.0,0,1,15,1,1,2,0.0,0.0
12979,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
24920,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
94888,1,1,0,1.0,3,4,6,1,1,1,0.0,0.0
493502,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
74131,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
491500,1,1,0,1.0,2,3,6,1,1,1,0.0,0.0
192126,1,1,0,1.0,2,3,6,1,1,1,0.0,0.0
199753,1,1,0,1.0,4,5,1,1,1,1,0.0,0.0
20312,1,1,0,1.0,2,3,6,1,1,1,0.0,0.0
189081,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
189082,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
89623,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
67895,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
450545,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
50354,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
326232,1,1,0,1.0,1,2,7,1,1,1,0.0,0.0
94659,1,1,0,1.0,1,2,8,1,1,1,0.0,0.0
88169,1,1,0,1.0,3,4,8,1,1,1,0.0,0.0
186414,1,1,0,1.0,2,3,9,1,1,1,0.0,0.0
93710,1,1,0,1.0,9,10,0,1,1,1,0.0,0.0
193834,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
27928,1,1,0,1.0,1,2,6,1,1,1,0.0,0.0
199378,1,1,0,1.0,1,2,9,1,1,1,0.0,0.0
55649,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
30536,1,1,0,1.0,5,6,1,1,1,1,0.0,0.0
64044,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
192941,1,1,0,1.0,4,5,2,1,1,1,0.0,0.0
192620,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
93988,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
190142,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
64040,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
97133,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
94762,1,1,0,1.0,2,3,5,1,1,1,0.0,0.0
382221,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
187066,1,1,0,1.0,1,2,5,1,1,1,0.0,0.0
