field,value,row_count
selected_demand_units,1,2645
selected_demand_units,2,93
selected_demand_units,3,40
selected_demand_units,4,78
selected_demand_units,5,2
selected_demand_units,6,74
selected_demand_units,7,7
selected_demand_units,8,43
selected_demand_units,9,9
selected_demand_units,10,100
selected_demand_units,11,149
selected_demand_units,12,95
selected_demand_units,13,4
selected_demand_units,14,8
selected_demand_units,15,11
selected_demand_units,16,12
selected_demand_units,17,7
selected_demand_units,18,26
selected_demand_units,19,2
selected_demand_units,20,3
selected_demand_units,21,1
selected_demand_units,22,2
selected_demand_units,23,5
selected_demand_units,24,19
selected_demand_units,25,2
selected_demand_units,26,3
selected_demand_units,27,1
selected_demand_units,28,3
selected_demand_units,29,2
selected_demand_units,30,7
selected_demand_units,32,1
selected_demand_units,33,1
selected_demand_units,34,1
selected_demand_units,35,1
selected_demand_units,36,5
selected_demand_units,37,1
selected_demand_units,38,1
selected_demand_units,39,1
selected_demand_units,40,2
selected_demand_units,41,1
selected_demand_units,42,5
selected_demand_units,43,3
selected_demand_units,44,1
selected_demand_units,46,3
selected_demand_units,47,1
selected_demand_units,48,7
selected_demand_units,50,1
selected_demand_units,52,4
selected_demand_units,53,1
selected_demand_units,54,2
selected_demand_units,55,1
selected_demand_units,56,1
selected_demand_units,60,4
selected_demand_units,65,1
selected_demand_units,66,1
selected_demand_units,69,2
selected_demand_units,72,1
selected_demand_units,73,1
selected_demand_units,78,2
selected_demand_units,80,2
selected_demand_units,81,1
selected_demand_units,82,1
selected_demand_units,84,1
selected_demand_units,85,1
selected_demand_units,90,3
selected_demand_units,93,1
selected_demand_units,94,1
selected_demand_units,96,1
selected_demand_units,100,2
selected_demand_units,108,2
selected_demand_units,121,1
selected_demand_units,162,1
selected_demand_units,197,1
selected_demand_units,632,1
selected_demand_units,1051,1
total_expected_demand_units,1,2647
total_expected_demand_units,2,86
total_expected_demand_units,3,36
total_expected_demand_units,4,78
total_expected_demand_units,5,2
total_expected_demand_units,6,73
total_expected_demand_units,8,40
total_expected_demand_units,9,3
total_expected_demand_units,10,10
total_expected_demand_units,12,95
total_expected_demand_units,14,6
total_expected_demand_units,15,7
total_expected_demand_units,16,10
total_expected_demand_units,18,29
total_expected_demand_units,20,2
total_expected_demand_units,24,23
total_expected_demand_units,26,3
total_expected_demand_units,27,4
