column,non_null_rows,null_rows,distinct_values,all_null,all_zero_numeric,constant,is_internal_leak_col,is_canonical_demand_field
store_number,3531,0,1,False,False,True,False,False
promotion_id,3531,0,1,False,False,True,False,False
promotion_name,3531,0,1,False,False,True,False,False
sku_number,3531,0,3531,False,False,False,False,False
sku_description,3531,0,3499,False,False,False,False,False
model_run_date,3531,0,1,False,False,True,False,False
promotion_start_date,3531,0,1,False,False,True,False,False
promotion_end_date,3531,0,1,False,False,True,False,False
days_until_promo_start,3531,0,1,False,False,True,False,False
promo_window_days,3531,0,1,False,False,True,False,False
current_soh_at_model_run,3531,0,29,False,False,False,False,False
confirmed_inbound_units_before_promo_start,3531,0,8,False,False,False,False,False
baseline_daily_units,3531,0,52,False,False,False,False,False
promo_uplift_factor,3531,0,1,False,False,True,False,False
pre_promo_demand_units,3531,0,24,False,False,False,False,True
promo_window_demand_units,3531,0,91,False,False,False,False,True
total_expected_demand_units,3531,0,99,False,False,False,False,True
stock_constraint_adjustment_units,3531,0,1,False,True,True,False,False
stock_constraint_flag,3531,0,1,False,True,True,False,False
demand_forecast_units_q50,3531,0,91,False,False,False,False,True
demand_forecast_units_q70,3531,0,1186,False,False,False,False,True
demand_forecast_units_q85,3531,0,1347,False,False,False,False,True
demand_forecast_units_q95,3531,0,1513,False,False,False,False,True
selected_demand_quantile,3531,0,3,False,False,False,False,True
selected_demand_units,3531,0,423,False,False,False,False,True
demand_forecast_confidence,3531,0,3,False,False,False,False,True
demand_forecast_basis,3531,0,1,False,False,True,False,True
demand_forecast_reason_code,3531,0,1,False,False,True,False,True
demand_forecast_warning,2661,870,48,False,False,False,False,True
projected_soh_at_promo_start_before_order,3531,0,29,False,False,False,False,False
floor_units_required_at_promo_start,3531,0,14,False,False,False,False,False
target_soh_at_promo_start,3531,0,75,False,False,False,False,False
raw_stock_gap_units,3531,0,80,False,False,False,False,False
recommended_order_units_before_pack_rounding,3531,0,80,False,False,False,False,False
order_units,3531,0,53,False,False,False,False,False
projected_soh_at_promo_start_after_order,3531,0,78,False,False,False,False,False
projected_soh_at_promo_end_after_order,3531,0,30,False,False,False,False,False
stock_position_status,3531,0,2,False,False,False,False,False
order_reason_code,372,3159,3,False,False,False,False,False
priority_rank,3531,0,3531,False,False,False,False,False
priority_band,3531,0,2,False,False,False,False,False
operator_decision,3531,0,4,False,False,False,False,False
operator_action,3531,0,2,False,False,False,False,False
reason_short,3531,0,8,False,False,False,False,False
risk_flag,3531,0,6,False,False,False,False,False
review_flag,3531,0,2,False,False,False,False,False
audit_notes,3531,0,685,False,False,False,False,False
current_soh,3531,0,29,False,False,False,False,False
on_order_at_advice_time,3531,0,8,False,False,False,False,False
expected_units_before_promo_start,3531,0,24,False,False,False,False,False
projected_SOH_at_promo_start,3531,0,29,False,False,False,False,False
target_SOH_at_promo_start,3531,0,75,False,False,False,False,False
floor_units_required,3531,0,14,False,False,False,False,False
expected_promo_demand,3531,0,75,False,False,False,False,False
available_to_sell_before_floor,3531,0,27,False,False,False,False,False
projected_stock_gap_units,3531,0,80,False,False,False,False,False
discount_percent,3531,0,92,False,False,False,False,False
