sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
188705,1.9999,1.9999,0,1,0.0094266666666666,113.0,0.0,1.9999,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,113.0,111.0001
188706,10.0002,10.0002,0,10,0.0104066666666666,113.0,0.0,10.0002,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,113.0,102.9998
192047,1.9999,1.9999,0,0,0.0062533333333333,77.0,0.0,1.9999,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,77.0,75.0001
188707,1.3251,1.3251,0,0,0.0041533333333333,68.0,0.0,1.3251,LOW_NONZERO_DEMAND,low_nonzero_demand,68.0,66.6749
841250,0.1876,0.1876,0,0,0.0125066666666666,30.714285714285715,0.0,0.1876,LOW_NONZERO_DEMAND,low_nonzero_demand,30.714285714285715,30.526685714285716
188698,9.1891,9.1891,0,0,0.01148,39.5,0.0,9.1891,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,39.5,30.3109
192033,0.0161,0.0161,0,0,0.0010733333333333,21.75,1.5,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,21.75,21.7339
69756,0.0315,0.0315,0,0,0.0021,21.625,2.5,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,21.625,21.5935
63361,0.0602,0.9491,0,0,0.0,19.125,0.6667,0.0602,LOW_NONZERO_DEMAND,low_nonzero_demand,19.125,19.0648
188736,3.9998,3.9998,0,2,0.0041533333333333,22.666666666666668,3.0,3.9998,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,22.666666666666668,18.666866666666667
199738,0.1266,1.0155,0,0,0.0,16.0,1.0,0.1266,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.8734
