sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,selected_demand_units,raw_stock_gap_units,projected_stock_gap_units,order_reason_code,stock_position_status,demand_forecast_confidence,reason_short,audit_notes,has_explicit_hard_blocker
192046,Lrp Cicaplast Baume B5+ 100Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,631.9592,629,629,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=629; recommended_units=0; confidence_pct=41,True
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,196.596,195,195,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=195; recommended_units=0; confidence_pct=42,True
189553,Lrp Cicaplast Baume B5 40Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,162.0003,157,157,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=157; recommended_units=0; confidence_pct=27,True
94902,Lrp Hyaluron Serum 50Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,108.0002,108,108,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=108; recommended_units=0; confidence_pct=38,True
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,108.0002,107,107,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=107; recommended_units=0; confidence_pct=40,True
188712,Cerave Moist Cream 340G,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,99.6486,100,100,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=100; recommended_units=0; confidence_pct=48,True
655035,Lrp Tol Sens 40Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,93.4905,92,92,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=92; recommended_units=0; confidence_pct=42,True
87418,Lrp Vitamin C12 Serum 30Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,89.9997,89,89,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=89; recommended_units=0; confidence_pct=27,True
63416,Lrp Cicaplast Hand Crm 100Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,84.0,84,84,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=84; recommended_units=0; confidence_pct=31,True
948829,Lrp Soothing Lotion 200Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,96.0001,81,81,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_inventory_sufficient_low_value_history.,review=policy_inventory_sufficient_low_value_history; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=81; recommended_units=0; confidence_pct=26,True
195445,Lrp Effaclar Duo+M 40Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,94.0002,80,80,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_inventory_sufficient_low_value_history.,review=policy_inventory_sufficient_low_value_history; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=80; recommended_units=0; confidence_pct=26,True
655084,Lrp Tol Dermo Cleanser 200Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,84.7061,80,80,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=80; recommended_units=0; confidence_pct=41,True
188996,Garn H/Bomb Vit C Msk,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,80.0002,80,80,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=80; recommended_units=0; confidence_pct=27,True
199846,Lrp Cicaplast Mask 5Pk,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,82.0001,79,79,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=79; recommended_units=0; confidence_pct=26,True
55533,Lrp Retinol B3 A/A Serum 30Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,78.0003,78,78,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=78; recommended_units=0; confidence_pct=27,True
188710,Cerave Moist Lotion 473Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,80.6045,76,76,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_inventory_sufficient_low_value_history.,review=policy_inventory_sufficient_low_value_history; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=76; recommended_units=0; confidence_pct=43,True
27193,Lrp Anth D/T Spf50+ 50Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,80.0002,75,75,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=75; recommended_units=0; confidence_pct=29,True
192083,Cerave Renew Peptide Crm 48G,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,78.0003,72,72,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=72; recommended_units=0; confidence_pct=35,True
184707,Lrp Anth Inv/Spray Spf50+ 200M,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,71.9999,67,67,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=67; recommended_units=0; confidence_pct=28,True
75453,Lrp Cicaplast B5 Serum 30Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,64.787,64,64,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=64; recommended_units=0; confidence_pct=44,True
195446,Lrp Effaclar +M F/Clnsr 400Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,59.9998,58,58,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=58; recommended_units=0; confidence_pct=26,True
188721,Cerave Sa Smooth Clns 473Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,59.9998,58,58,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=58; recommended_units=0; confidence_pct=36,True
20798,Garn Micellar Water 700Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,56.0,56,56,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=56; recommended_units=0; confidence_pct=26,True
188715,Cerave Moist Pm 52Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,59.9998,55,55,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=55; recommended_units=0; confidence_pct=35,True
495891,Lrp Cicaplast Lips 7.5Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,54.0001,54,54,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=54; recommended_units=0; confidence_pct=25,True
188709,Cerave Moist Lotion 236Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,53.421,53,53,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=53; recommended_units=0; confidence_pct=41,True
71227,Lrp Tol Derm Fluid 40Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,55.4301,48,48,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=48; recommended_units=0; confidence_pct=44,True
198880,Lrp Mela B3 Cleanser 200Ml,REVIEW,BORDERLINE_OOS_REVIEW,REVIEW,0,47.9997,48,48,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=CREDIBLE_PROMO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=48; recommended_units=0; confidence_pct=28,True
