sku_number,pre_promo_demand_units,promo_window_demand_units,total_expected_demand_units,pre_minus_promo,days_until_promo_start,promo_window_days
92632,240.0,29.9999,269.9999,210.0001,63,7
52115,195.5556,24.5,220.0556,171.0556,63,7
195518,168.0,21.0,189.0,147.0,63,7
91149,168.0,21.0,189.0,147.0,63,7
195412,168.0,21.0,189.0,147.0,63,7
88414,140.4444,17.5,157.9444,122.9444,63,7
88458,112.0,14.0,126.0,98.0,63,7
91058,112.0,14.0,126.0,98.0,63,7
799718,112.0,14.0,126.0,98.0,63,7
199053,112.0,14.0,126.0,98.0,63,7
67690,112.0,14.0,126.0,98.0,63,7
96617,112.0,14.0,126.0,98.0,63,7
389404,112.0,14.0,126.0,98.0,63,7
192936,112.0,14.0,126.0,98.0,63,7
478354,102.2222,12.7273,114.9495,89.4949,63,7
55245,96.0,12.0001,108.0001,83.9999,63,7
90934,96.0,12.0001,108.0001,83.9999,63,7
323608,96.0,12.0001,108.0001,83.9999,63,7
90990,83.5556,10.5,94.0556,73.0556,63,7
93993,83.5556,10.5,94.0556,73.0556,63,7
90432,83.5556,10.5,94.0556,73.0556,63,7
192118,83.5556,10.5,94.0556,73.0556,63,7
90462,83.5556,10.5,94.0556,73.0556,63,7
73263,80.0,10.0002,90.0002,69.9998,63,7
16527,80.0,10.0002,90.0002,69.9998,63,7
365033,78.2222,9.8,88.0222,68.4222,63,7
193696,74.6667,9.3333,84.0,65.33340000000001,63,7
94071,74.6667,9.3333,84.0,65.33340000000001,63,7
67700,74.6667,9.3333,84.0,65.33340000000001,63,7
194014,74.6667,9.3333,84.0,65.33340000000001,63,7
96608,70.2222,8.75,78.9722,61.4722,63,7
193213,67.5556,8.4,75.9556,59.1556,63,7
189518,65.7778,8.1667,73.9445,57.6111,63,7
97057,64.0,8.0,72.0,56.0,63,7
90933,64.0,8.0003,72.0003,55.999700000000004,63,7
91864,56.0,7.0,63.0,49.0,63,7
95879,56.0,7.0,63.0,49.0,63,7
92155,56.0,7.0,63.0,49.0,63,7
95888,56.0,7.0,63.0,49.0,63,7
62911,56.0,7.0,63.0,49.0,63,7
92157,56.0,7.0,63.0,49.0,63,7
91855,56.0,7.0,63.0,49.0,63,7
67689,56.0,7.0,63.0,49.0,63,7
97058,56.0,7.0,63.0,49.0,63,7
195519,56.0,7.0,63.0,49.0,63,7
94537,56.0,7.0,63.0,49.0,63,7
97120,56.0,7.0,63.0,49.0,63,7
188943,56.0,7.0,63.0,49.0,63,7
184615,56.0,7.0,63.0,49.0,63,7
94807,56.0,7.0,63.0,49.0,63,7
94532,56.0,7.0,63.0,49.0,63,7
194017,56.0,7.0,63.0,49.0,63,7
41206,56.0,7.0,63.0,49.0,63,7
194050,56.0,7.0,63.0,49.0,63,7
194020,56.0,7.0,63.0,49.0,63,7
91079,56.0,7.0,63.0,49.0,63,7
91025,56.0,7.0,63.0,49.0,63,7
96517,56.0,7.0,63.0,49.0,63,7
730,56.0,7.0,63.0,49.0,63,7
194501,56.0,7.0,63.0,49.0,63,7
91885,56.0,7.0,63.0,49.0,63,7
91015,56.0,7.0,63.0,49.0,63,7
