sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
188705,0,0,0,0,0.0094266666666666,113.0,0.0,0,NO_DEMAND,true_zero_demand,113.0,113.0
188706,0,0,0,0,0.0104066666666666,113.0,0.0,0,NO_DEMAND,true_zero_demand,113.0,113.0
192047,0,0,0,0,0.0062533333333333,77.0,0.0,0,NO_DEMAND,true_zero_demand,77.0,77.0
192046,1,3,0,0,0.727168,73.0,73.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,73.0,72.0
188707,1,1,0,0,0.0041533333333333,68.0,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,68.0,67.0
188698,1,1,0,0,0.01148,39.5,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,39.5,38.5
188700,1,1,0,0,0.0052266666666666,39.0,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,39.0,38.0
192083,1,1,0,0,0.0856666666666666,17.6799,35.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,35.0,34.0
841250,1,1,0,0,0.0125066666666666,30.714285714285715,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,30.714285714285715,29.714285714285715
188712,1,1,0,1,0.0083533333333333,15.06265,30.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,30.0,29.0
188715,1,1,0,0,0.09366,13.6561,27.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,27.0,26.0
188721,1,1,0,0,0.06048,13.6176,27.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,27.0,26.0
188711,1,1,0,0,0.0125066666666666,13.5938,27.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,27.0,26.0
654921,1,2,0,0,0.1448533333333333,27.0,27.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,27.0,26.0
188710,1,1,0,0,0.0041533333333333,13.53115,27.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,27.0,26.0
189553,1,2,0,0,0.06566,26.666666666666668,26.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,26.6667,25.6667
94902,1,1,0,1,0.1103261538461538,26.0,26.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,26.0,25.0
52115,1,197,0,26,24.5,2.090909090909091,2.0909,1,LOW_NONZERO_DEMAND,low_nonzero_demand,24.5,23.5
92846,1,1,0,2,0.01148,11.5861,23.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,23.0,22.0
188736,1,1,0,0,0.0041533333333333,22.666666666666668,3.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,22.666666666666668,21.666666666666668
92850,1,1,0,1,0.0041533333333333,22.53115,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,22.53115,21.53115
192033,1,1,0,0,0.0010733333333333,21.75,1.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.75,20.75
16859,1,1,0,0,0.0385933333333333,21.666666666666668,21.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.6667,20.6667
69756,1,1,0,0,0.0021,21.625,2.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.625,20.625
698520,1,1,0,0,0.0083533333333333,21.454545454545453,5.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.454545454545453,20.454545454545453
188713,2,1,4,4,0.0145599999999999,11.1092,22.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,22.0,20.0
91149,1,169,0,22,21.0,1.2,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.0,20.0
195412,1,169,0,22,21.0,0.2352941176470588,0.2353,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.0,20.0
195518,1,169,0,22,21.0,0.3333333333333333,0.3636,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.0,20.0
90912,1,1,0,0,0.0365866666666666,10.6176,21.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,21.0,20.0
92847,1,1,0,1,0.0476,10.12495,20.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,20.0,19.0
188699,1,1,0,0,0.0052266666666666,10.0392,20.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,20.0,19.0
63361,1,1,0,0,0.0,19.125,0.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,19.125,18.125
87550,1,1,0,0,0.0021,19.0,19.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,19.0,18.0
188704,1,1,0,0,0.0083533333333333,9.06265,18.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,18.0,17.0
445650,1,1,0,0,0.0219333333333333,17.941176470588236,12.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,17.941176470588236,16.941176470588236
192198,1,1,0,0,0.0052266666666666,17.636363636363637,1.8889,1,LOW_NONZERO_DEMAND,low_nonzero_demand,17.636363636363637,16.636363636363637
88414,1,141,0,19,17.5,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,17.5,16.5
698571,1,1,0,0,0.01904,16.818181818181817,16.8182,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.8182,15.818200000000001
948829,1,1,0,0,0.0312666666666666,16.333333333333332,16.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.333333333333332,15.333333333333332
199738,1,2,0,0,0.0,16.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.0
92849,1,1,0,0,0.055296,8.2268,16.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.0
92848,1,1,0,3,0.0595809523809523,8.2737,16.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.0
90914,1,1,0,0,0.0237866666666666,8.07805,16.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,16.0,15.0
367011,1,1,0,0,0.0412982424242424,15.5,15.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.5,14.5
1485,1,1,0,0,0.01148,15.411764705882351,5.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.411764705882351,14.411764705882351
96596,1,25,0,5,15.400000000000002,3.0,3.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.400000000000002,14.400000000000002
27193,1,1,0,0,0.03024,15.333333333333334,15.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.333333333333334,14.333333333333334
87418,1,1,0,0,0.0281866666666666,15.0,15.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.0,14.0
195445,1,1,0,0,0.03024,15.0,15.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.0,14.0
67690,1,113,0,15,14.0,0.5625,0.5625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
91058,1,113,0,15,14.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
199846,1,1,0,0,0.0270666666666666,14.0,14.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
96617,1,113,0,15,14.0,2.5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
389404,1,113,0,15,14.0,2.5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
199053,1,113,0,15,14.0,1.625,1.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
88458,1,113,0,15,14.0,0.6363636363636364,0.6364,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
799718,1,113,0,15,14.0,1.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
192936,1,113,0,15,14.0,8.318181818181818,8.3182,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
43839,1,1,0,0,0.0012692592592592,13.625,13.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.625,12.625
195051,1,1,0,0,0.0208133333333333,13.333333333333334,13.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.333333333333334,12.333333333333334
184707,1,1,0,0,0.0094266666666666,13.0,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
188709,1,1,0,1,0.0083533333333333,6.56265,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
188720,1,1,0,0,0.0145599999999999,6.6092,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
478354,1,103,0,14,12.727272727272728,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.727272727272728,11.727272727272728
612448,1,1,0,0,0.01568,12.705882352941176,10.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.705882352941176,11.705882352941176
