sku_number,promotion_name,raw,calibrated,policy_adjusted,feature_consensus,ratio_cal_over_raw,ratio_pol_over_cal,ratio_pol_over_raw,policy_adjustment_reason,department,category,supplier,forecast_source_used,forecast_source_raw_units,selected_demand_units,promo_window_demand_units
972541,Allocation Report - SE01 SKINCARE SALES EVENT,0.0,0.0,0.0,0.2183999999999999,1.0,1.0,1.0,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,ESSENCE,0,required_implied_units,12.0001,0,0
97161,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0184728735249662,1e-06,1.0,0.34999999999999915,0.34999999999999915,sparse_history_multi_driver_baseline_only,ORAL HEALTH,ORAL ELECTRICAL,0,predicted_units_sold,0.0184728735249662,1,1
193457,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.25,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,predicted_units_sold,0.0369457470499325,1,1
95832,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0301,1e-06,1.0,0.5702956817065767,0.5702956817065767,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,ESSENCE,0,baseline_expected_units,0.0301,1,1
90980,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1e-06,1.0,1.0,1.0,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,baseline_expected_units,7.0,1,1
91004,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0010733333333333,0.0161,1.0,0.02033612508410986,0.02033612508410986,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,required_implied_units,0.0161,1,1
91936,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0010733333333333,0.0161,1.0,0.02033612508410986,0.02033612508410986,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,required_implied_units,0.0161,1,1
91060,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0021,0.0315,1.0,0.039788070816737915,0.039788070816737915,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,required_implied_units,0.0315,1,1
91009,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0184728735249662,1e-06,1.0,0.34999999999999915,0.34999999999999915,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,predicted_units_sold,0.0184728735249662,1,1
91074,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0184728735249662,1e-06,1.0,0.34999999999999915,0.34999999999999915,sparse_history_multi_driver_baseline_only,COLOUR COSMETICS,CATRICE,0,predicted_units_sold,0.0184728735249662,1,1
