category,row_count,raw_p50,cal_p50,pol_p50,median_cal_over_raw,median_pol_over_raw,rows_raw_ge5_pol_lt1
ACNE,63,0.0527796386427607,0.0125066666666666,0.0052266666666666,0.11848003309873006,0.07869196228199213,0
AFTERSUN,7,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.02033612508410986,0.02033612508410986,0
AT HOME WHITENING,8,0.0527796386427607,0.0015866666666666499,0.0015866666666666499,0.03006209795042389,0.03006209795042389,0
BABY NEEDS,7,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.0,0.34999999999999915,0
BATH ACCESSORIES,10,0.0527796386427607,0.00312666666666665,0.00312666666666665,0.0535924559761711,0.0535924559761711,0
BATH BODY SEASONAL,1,0.0527796386427607,0.0527796386427607,0.0290288012535184,1.0,0.5500000000000003,0
BEAUTY TOOLS,41,0.0527796386427607,0.0052266666666666,0.0052266666666666,0.099028087366102,0.099028087366102,0
CATRICE,199,0.0527796386427607,0.0527796386427607,0.0147,1.0,0.2785164957171654,0
COLOR COS MNR BRND,26,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.07869196228199213,0.07869196228199213,0
COLOURANTS,87,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.0,0.34999999999999915,0
COS BAGS SEASONAL,3,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.0,0.34999999999999915,0
COSMECEUTICAL,278,0.0527796386427607,0.0041533333333333,0.0031733333333333,0.07304865491334069,0.060124195900847784,0
COTTON PRODUCTS,4,0.2198691226881941,0.01665999999999995,0.01665999999999995,0.08293076314821152,0.08293076314821152,0
DENTAL CARE,5,0.0702977881002066,0.01148,0.01148,0.16330528043977333,0.16330528043977333,0
DERMA COS,152,0.0565060571455208,0.0083533333333333,0.0083533333333333,0.060124195900847784,0.059673931086392226,2
DRY SHAMPOO,24,0.0527796386427607,0.0052266666666666,0.0052266666666666,0.099028087366102,0.099028087366102,0
ESSENCE,224,0.0527796386427607,0.0527796386427607,0.0041533333333333,1.0,0.07869196228199213,0
ESSIE,72,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,0.7000000000000001,0
EVERYDAY SKIN,294,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.060124195900847784,0.060124195900847784,0
FASHION ACCESS,13,0.0527796386427607,0.0062533333333333,0.0062533333333333,0.10147389564237078,0.10147389564237078,0
FEMININE HYGIENE,36,0.0527796386427607,0.0062533333333333,0.0062533333333333,0.099028087366102,0.099028087366102,0
FOOTCARE AID,2,0.0527796386427607,0.0527796386427607,0.017984999999999998,1.0,0.3407564064947769,0
HAIR ACCESSORIES,17,0.0585218512237771,0.0083533333333333,0.0083533333333333,0.13593180649494063,0.13024686548418482,0
HAIR STYLING,31,0.0527796386427607,0.0527796386427607,0.0041533333333333,1.0,0.07869196228199213,0
HOME FRAGRANCE,5,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.06739684113560428,0.06739684113560428,0
INCONTINENCE MEN,4,0.0527796386427607,0.0021233333333333,0.0021233333333333,0.04023016049247882,0.04023016049247882,0
INCONTINENCE UNISE,2,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,0.7000000000000001,0
INCONTINENCE WOMAN,12,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.07869196228199213,0.07869196228199213,0
LIP CARE,34,0.0572023415653879,0.0062533333333333,0.0062533333333333,0.07869196228199213,0.07869196228199213,0
LOTIONS AND POWDER,3,0.0527796386427607,0.0021,0.0021,0.034077054506766485,0.034077054506766485,0
MAX FACTOR,121,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,0.7000000000000001,0
MAYBELLINE,322,0.0527796386427607,0.0031733333333333,0.0031733333333333,0.060124195900847784,0.060124195900847784,0
MENS DEODORANT,33,0.0527796386427607,0.0031733333333333,0.0031733333333333,0.060124195900847784,0.060124195900847784,0
MENS ELEC GROOMING,1,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.02033612508410986,0.02033612508410986,0
MENS HAIRCARE,6,0.0527796386427607,0.0036633333333332997,0.0036633333333332997,0.06940807909141995,0.06940807909141995,0
MENS SKINCARE,4,0.0527796386427607,0.026926485988047002,0.0190095401916329,0.5101680625420549,0.36016806254205497,0
MOUTH WASHES,5,0.0527796386427607,0.0031733333333333,0.0031733333333333,0.060124195900847784,0.060124195900847784,0
NATURAL,161,0.0527796386427607,0.0031733333333333,0.0031733333333333,0.060124195900847784,0.060124195900847784,0
NYX,229,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.060124195900847784,0.060124195900847784,0
ORAL ELECTRICAL,5,0.0527796386427607,0.0527796386427607,0.0041533333333333,1.0,0.07869196228199213,0
PERSONAL WASH,56,0.0527796386427607,0.00419999999999995,0.00419999999999995,0.060124195900847784,0.060124195900847784,0
RIMMEL,276,0.0527796386427607,0.0147,0.0147,0.2785164957171654,0.2785164957171654,0
SHAMPOO CONDITIONE,96,0.0527796386427607,0.0519453748769359,0.0021,0.9841934543835831,0.039788070816737915,0
SINGLES FEMALE,93,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.0,0.34999999999999915,0
SINGLES MALE,37,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.0,0.34999999999999915,0
SUN PROTECTION,91,0.0527796386427607,0.0062533333333333,0.0052266666666666,0.060124195900847784,0.05149421569911326,1
TAN APPLICATOR,5,0.0527796386427607,0.0021,0.0021,0.034077054506766485,0.034077054506766485,0
TAN SET AND REMOVE,2,0.0527796386427607,0.00263666666666665,0.00263666666666665,0.04995613335879285,0.04995613335879285,0
TANNING SKIN,52,0.0527796386427607,0.0052266666666666,0.0041533333333333,0.099028087366102,0.0730444017087982,0
THERAPEUTIC,159,0.0527796386427607,0.0052266666666666,0.0052266666666666,0.060124195900847784,0.060124195900847784,2
TOOTHBRUSHES,18,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.06739684113560428,0.06376051851822603,0
TOOTHPASTE,38,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.07869196228199213,0.07869196228199213,0
TREATMENT,28,0.0527796386427607,0.028466485988047,0.00263666666666665,0.5336984205678021,0.04995613335879285,0
WOMENS DEODORANT,29,0.0527796386427607,0.0062533333333333,0.0062533333333333,0.07869196228199213,0.07869196228199213,0
