sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
972541,0.0,0.0,0.0,0.0,1.529,0.2183999999999999,0.0145599999999999,7.0,0,0,MODEL_PREDICTION,True,True,0.2183999999999999,0.2183999999999999,anti_collapse_repair_to_1
97161,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
193457,0.369,0.369,0.259,0.259,0.0,0.25,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.25,0.0,anti_collapse_repair_to_1
95832,0.369,0.369,0.211,0.211,0.0,1e-06,0.0301,7.0,1,1,MODEL_PREDICTION,True,True,0.0301,0.0,anti_collapse_repair_to_1
90980,0.369,0.369,0.369,0.369,0.0,1e-06,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
91004,0.369,0.369,0.008,0.008,0.113,0.0161,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0161,0.0,anti_collapse_repair_to_1
91936,0.369,0.369,0.008,0.008,0.113,0.0161,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0161,0.0,anti_collapse_repair_to_1
91060,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
91009,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
91074,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
88364,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
95840,0.369,0.369,0.369,0.369,0.0,1e-06,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
91042,0.431,0.431,0.008,0.008,0.113,0.0161,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0161,0.0,anti_collapse_repair_to_1
188706,0.0,0.0,0.0,0.0,1.093,113.0,0.0104066666666666,7.0,0,0,MODEL_PREDICTION,True,True,113.0,113.0,anti_collapse_repair_to_1
192047,0.0,0.0,0.0,0.0,0.657,77.0,0.0062533333333333,7.0,0,0,MODEL_PREDICTION,True,True,77.0,77.0,anti_collapse_repair_to_1
188705,0.0,0.0,0.0,0.0,0.99,113.0,0.0094266666666666,7.0,0,0,MODEL_PREDICTION,True,True,113.0,113.0,anti_collapse_repair_to_1
167133,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
95114,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
95875,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167145,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167101,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
94274,0.369,0.008,0.008,0.008,0.113,2.5e-07,0.0010733333333333,7.0,2,1,MODEL_PREDICTION,True,True,0.0010733333333333,0.0,anti_collapse_repair_to_1
69352,0.369,0.008,0.008,0.008,0.113,0.50805,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.50805,0.0,anti_collapse_repair_to_1
89770,0.369,0.369,0.015,0.015,0.22,0.0315,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.0315,0.0,anti_collapse_repair_to_1
97859,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97858,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97857,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97856,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97861,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
89561,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
89563,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
199941,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
97862,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97860,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97863,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167942,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167941,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167940,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
91462,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
91458,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
88781,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
67693,0.369,0.015,0.015,0.015,0.22,1.0,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,1.0,0.0,anti_collapse_repair_to_1
15769,0.369,0.369,0.369,0.369,0.0,1.2352941176470589,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
193286,0.369,0.008,0.008,0.008,0.113,0.2142857142857142,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.2142857142857142,0.0,anti_collapse_repair_to_1
167335,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
94011,0.369,0.369,0.369,0.369,0.0,0.4545454545454545,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
167329,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
15841,0.369,0.008,0.008,0.008,0.113,0.8235294117647058,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.8235294117647058,0.0,anti_collapse_repair_to_1
96490,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96506,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96505,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96497,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96496,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96495,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96494,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96493,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
96492,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
167333,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97677,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167572,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167548,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97554,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97572,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97947,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
41596,0.369,0.369,0.369,0.369,0.0,0.4285714285714285,7.0,7.0,1,1,MODEL_PREDICTION,True,True,7.0,6.0,anti_collapse_repair_to_1
94170,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
94171,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
94173,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97576,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97849,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97847,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
167570,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
194821,0.369,0.008,0.008,0.008,0.113,0.2,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.2,0.0,anti_collapse_repair_to_1
65469,0.369,0.369,0.259,0.259,0.0,1.25e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.25e-07,0.0,anti_collapse_repair_to_1
187639,0.369,0.369,0.129,0.129,0.0,0.2,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.2,0.0,anti_collapse_repair_to_1
97434,0.369,0.369,0.259,0.259,0.0,2.5e-07,0.0,7.0,1,1,MODEL_PREDICTION,True,True,2.5e-07,0.0,anti_collapse_repair_to_1
15847,0.431,0.015,0.015,0.015,0.22,1.7647058823529411,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,1.7647058823529411,0.7647058823529411,anti_collapse_repair_to_1
97201,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
98118,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
98117,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
98138,0.369,0.369,0.022,0.022,0.333,0.0475999999999999,0.0031733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0475999999999999,0.0,anti_collapse_repair_to_1
