sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,selected_demand_units,promo_window_demand_units,feature_exceeds_final_by,collapse_category
188705,0.0,0.0,0.0,0.0,0.99,113.0,0.0094266666666666,0,0,113.0,anti_collapse_repair_to_1
188706,0.0,0.0,0.0,0.0,1.093,113.0,0.0104066666666666,0,0,113.0,anti_collapse_repair_to_1
192047,0.0,0.0,0.0,0.0,0.657,77.0,0.0062533333333333,0,0,77.0,anti_collapse_repair_to_1
192046,144.607,5.09,3.191,3.191,19.365,73.0,0.727168,1,1,72.0,no_collapse
188707,9.276,0.029,0.029,0.029,0.436,68.0,0.0041533333333333,1,1,67.0,anti_collapse_repair_to_1
188698,64.323,0.08,0.08,0.08,1.205,39.5,0.01148,1,1,38.5,anti_collapse_repair_to_1
188700,202.653,0.037,0.037,0.037,0.549,39.0,0.0052266666666666,1,1,38.0,anti_collapse_repair_to_1
841250,0.966,0.088,0.088,0.088,1.313,30.714285714285715,0.0125066666666666,1,1,29.714285714285715,anti_collapse_repair_to_1
654921,182.313,1.014,1.014,1.014,15.21,27.0,0.1448533333333333,1,1,26.0,round_to_1_floor
189553,54.485,0.46,0.46,0.46,6.894,26.666666666666668,0.06566,1,1,25.666666666666668,anti_collapse_repair_to_1
94902,12.438,0.772,0.492,0.492,3.175,26.0,0.1103261538461538,1,1,25.0,anti_collapse_repair_to_1
52115,0.431,0.431,0.431,0.431,0.0,2.090909090909091,24.5,1,1,23.5,anti_collapse_repair_to_1
188736,1.12,0.029,0.029,0.029,0.436,22.666666666666668,0.0041533333333333,1,1,21.666666666666668,anti_collapse_repair_to_1
92850,0.314,0.029,0.029,0.029,0.436,22.53115,0.0041533333333333,1,1,21.53115,anti_collapse_repair_to_1
192033,0.422,0.008,0.008,0.008,0.113,21.75,0.0010733333333333,1,1,20.75,anti_collapse_repair_to_1
16859,11.647,0.27,0.27,0.27,4.052,21.666666666666668,0.0385933333333333,1,1,20.666666666666668,anti_collapse_repair_to_1
69756,0.422,0.015,0.015,0.015,0.22,21.625,0.0021,1,1,20.625,anti_collapse_repair_to_1
698520,0.194,0.058,0.058,0.058,0.877,21.454545454545453,0.0083533333333333,1,1,20.454545454545453,anti_collapse_repair_to_1
195518,0.369,0.369,0.369,0.369,0.0,0.3333333333333333,21.0,1,1,20.0,anti_collapse_repair_to_1
195412,0.369,0.369,0.369,0.369,0.0,0.2352941176470588,21.0,1,1,20.0,anti_collapse_repair_to_1
91149,0.369,0.369,0.369,0.369,0.0,1.2,21.0,1,1,20.0,anti_collapse_repair_to_1
63361,0.422,0.422,0.295,0.295,0.0,19.125,0.0,1,1,18.125,anti_collapse_repair_to_1
87550,11.638,0.015,0.015,0.015,0.22,19.0,0.0021,1,1,18.0,anti_collapse_repair_to_1
445650,10.02,0.154,0.154,0.154,2.303,17.941176470588236,0.0219333333333333,1,1,16.941176470588236,anti_collapse_repair_to_1
192083,16.034,0.6,0.384,0.384,2.519,17.6799,0.0856666666666666,1,1,16.6799,anti_collapse_repair_to_1
192198,0.78,0.037,0.037,0.037,0.549,17.636363636363637,0.0052266666666666,1,1,16.636363636363637,anti_collapse_repair_to_1
88414,0.369,0.369,0.369,0.369,0.0,1e-06,17.5,1,1,16.5,anti_collapse_repair_to_1
698571,12.374,0.133,0.125,0.125,1.749,16.818181818181817,0.01904,1,1,15.818181818181817,anti_collapse_repair_to_1
948829,12.013,0.219,0.219,0.219,3.283,16.333333333333332,0.0312666666666666,1,1,15.333333333333332,anti_collapse_repair_to_1
199738,0.886,0.886,0.62,0.62,0.0,16.0,0.0,1,1,15.0,round_to_1_floor
367011,15.64,0.289,0.236,0.236,2.739,15.5,0.0412982424242424,1,1,14.5,anti_collapse_repair_to_1
1485,3.289,0.08,0.08,0.08,1.205,15.411764705882351,0.01148,1,1,14.411764705882351,anti_collapse_repair_to_1
96596,0.369,0.369,0.369,0.369,0.0,3.0,15.400000000000002,1,1,14.400000000000002,anti_collapse_repair_to_1
27193,16.379,0.212,0.212,0.212,3.175,15.333333333333334,0.03024,1,1,14.333333333333334,anti_collapse_repair_to_1
188712,14.166,0.058,0.058,0.058,0.877,15.06265,0.0083533333333333,1,1,14.06265,anti_collapse_repair_to_1
87418,12.681,0.197,0.197,0.197,2.96,15.0,0.0281866666666666,1,1,14.0,anti_collapse_repair_to_1
195445,16.379,0.212,0.212,0.212,3.175,15.0,0.03024,1,1,14.0,anti_collapse_repair_to_1
91058,0.369,0.369,0.369,0.369,0.0,1e-06,14.0,1,1,13.0,anti_collapse_repair_to_1
199053,0.369,0.369,0.369,0.369,0.0,1.625,14.0,1,1,13.0,anti_collapse_repair_to_1
389404,0.369,0.369,0.369,0.369,0.0,2.5e-07,14.0,1,1,13.0,anti_collapse_repair_to_1
192936,2.463,2.463,2.463,2.463,0.0,8.318181818181818,14.0,1,1,13.0,no_collapse
199846,11.125,0.189,0.189,0.189,2.842,14.0,0.0270666666666666,1,1,13.0,anti_collapse_repair_to_1
96617,0.369,0.369,0.369,0.369,0.0,2.5e-07,14.0,1,1,13.0,anti_collapse_repair_to_1
67690,0.369,0.369,0.369,0.369,0.0,0.5625,14.0,1,1,13.0,anti_collapse_repair_to_1
