store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,decision,recommended_order_units,brain_validated_action_label,final_governed_action_label,final_governed_order_units,shadow_candidate_class,shadow_candidate_rank,lesson_learned_label,human_review_status,model_status,production_ordering_approved,customer_report_release_approved,advisory_label
772,772|95116|2026-02-19|2026-03-04|772-95116-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,95116,0.0,VITAMIN SUPPLEMENT,REVIEW,2.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,1,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|94457|2026-03-05|2026-03-18|772-94457-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,94457,0.0,SKINCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,2,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,unknown,2025-11-25,2025-12-01,92331,0.0,SKINCARE,REVIEW,4.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,4.0,SHADOW_TOP_50_CANDIDATE,3,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|92334|2026-02-19|2026-03-04|772-92334-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,92334,0.0,SKINCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,4,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|67282|2026-04-23|2026-05-06|772-67282-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,67282,0.0,NUTRITION WELLBEIN,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,5,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|90851|2026-04-09|2026-04-22|772-90851-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,90851,0.0,SKINCARE,REVIEW,4.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,4.0,SHADOW_TOP_50_CANDIDATE,6,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|4995|2026-01-22|2026-02-04|772-4995-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,4995,0.0,HAIRCARE,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,7,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|184677|2026-04-09|2026-04-22|772-184677-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,184677,0.0,SKINCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,8,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|713775|2026-04-09|2026-04-22|772-713775-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,713775,0.0,HAIR REMOVAL,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,9,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|185567|2026-02-19|2026-03-04|772-185567-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,185567,0.0,DIGESTIVE CARE,REVIEW,2.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,10,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|195641|2026-02-19|2026-03-04|772-195641-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,195641,0.0,ORAL HEALTH,REVIEW,4.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,4.0,SHADOW_TOP_50_CANDIDATE,11,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|394289|2026-04-09|2026-04-22|772-394289-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,394289,0.0,BEAUTY ACCESSORIES,REVIEW,2.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,12,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|55584|2026-04-09|2026-04-22|772-55584-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,55584,0.0,HAIRCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,13,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|399795|2026-02-19|2026-03-04|772-399795-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,399795,0.0,DIGESTIVE CARE,REVIEW,2.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,14,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
