store_number,promotion_id,sku_number,ats_confidence_label,ats_do_not_learn_zero_sales_flag,ats_false_zero_demand_risk,ats_stockout_censoring_risk,available_to_sell_confidence_score,ats_missing_reason,ats_evidence_source_count,ats_censoring_risk_reason,ats_zero_sales_learnable_flag,ats_zero_sales_not_learnable_reason,ats_evidence_score,ats_evidence_label,ats_calibration_eligibility_support_flag
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,92331,LOW,YES,NO,YES,0.0,STOCK_OR_DEMAND_QUALITY_WEAK,5,STOCKOUT_SUSPECTED,YES,,0.0,WEAK,NO
772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,193148,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0166,WEAK,NO
772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,51070,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0232,WEAK,NO
772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195422,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0282,WEAK,NO
772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195434,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0224,WEAK,NO
772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,44175,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0152,WEAK,NO
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,185192,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0346,WEAK,NO
772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,188146,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0232,WEAK,NO
772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190060,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.018,WEAK,NO
772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190062,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0246,WEAK,NO
772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190065,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0222,WEAK,NO
772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190084,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0252,WEAK,NO
772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190099,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0192,WEAK,NO
772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190135,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.027,WEAK,NO
772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190274,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0206,WEAK,NO
772,772|190275|2025-12-25|2026-01-14|772-190275-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190275,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0158,WEAK,NO
772,772|192177|2025-12-25|2026-01-14|772-192177-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,192177,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0226,WEAK,NO
772,772|197262|2025-12-25|2026-01-14|772-197262-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,197262,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.023,WEAK,NO
772,772|198934|2025-12-25|2026-01-14|772-198934-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,198934,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0314,WEAK,NO
772,772|199044|2025-12-25|2026-01-14|772-199044-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,199044,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0282,WEAK,NO
772,772|20866|2025-12-25|2026-01-14|772-20866-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,20866,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0344,WEAK,NO
772,772|21072|2025-12-25|2026-01-14|772-21072-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,21072,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0272,WEAK,NO
772,772|22069|2025-12-25|2026-01-14|772-22069-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,22069,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0316,WEAK,NO
772,772|23075|2025-12-25|2026-01-14|772-23075-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,23075,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0382,WEAK,NO
772,772|24919|2025-12-25|2026-01-14|772-24919-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,24919,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0402,WEAK,NO
772,772|295000|2025-12-25|2026-01-14|772-295000-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,295000,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.024,WEAK,NO
772,772|298522|2025-12-25|2026-01-14|772-298522-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,298522,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0258,WEAK,NO
772,772|306779|2025-12-25|2026-01-14|772-306779-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,306779,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.0286,WEAK,NO
772,772|36995|2025-12-25|2026-01-14|772-36995-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,36995,LOW,NO,NO,NO,0.1,STOCK_OR_DEMAND_QUALITY_WEAK,5,SOH_QUALITY_UNKNOWN,YES,,0.027,WEAK,NO
