feature_name,feature_family,currently_in_source_frame_flag,brain_eligible_flag,source_module,raw_data_available_flag,derived_feature_available_flag,merge_blocker,decision_value,recommended_merge_action,priority
average_daily_units,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
basket_completion_sku_score,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
basket_trust_convexity_value,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
basket_trust_protection_value,economic_triage,NO,YES,promo_economic_triage,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
calibrated_regime_conviction_score,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
calibration_eligible_flag,quality_governance,NO,YES,promo_governance,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
cash_efficiency_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
constraint_block_flag,quality_governance,NO,YES,promo_governance,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
current_soh,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
current_stock_position_label,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
customer_basket_trust_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
customer_loyalty_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
customer_price_sensitivity_regime,regime_brain,NO,YES,promo_regime_brain,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
expected_gp_capture_value,economic_triage,NO,YES,promo_economic_triage,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
expected_normal_units_during_promo,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
expected_promo_uplift_units,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
expected_soh_at_promo_start_before_order,stock_optimal,NO,YES,promo_stock_optimal,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
expected_total_promo_demand_units,demand_uplift,NO,YES,promo_demand_features,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
feature_avg_basket_gp_when_present,basket_trust,NO,YES,promo_basket_trust,PARTIAL,YES,NOT_MERGED_INTO_FRAME,HIGH,BUILD_OR_MERGE_FEATURE,1
