feature_name,feature_family,available_in_source_frame_flag,used_by_brain_model_flag,used_by_governance_flag,used_by_report_flag,used_by_dag_flag,used_by_knowledge_graph_flag,excluded_from_brain_reason,legacy_hardcoded_limit_flag,dtype_issue_flag,missingness_issue_flag,encoding_issue_flag,recommended_action
average_daily_units,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
basket_attachment_source_quality,quality_governance,YES,YES,NO,NO,YES,YES,,NO,NO,YES,NO,KEEP
basket_completion_sku_score,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
basket_trust_convexity_value,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
basket_trust_protection_value,economic_triage,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
brain_update_recommendation,lesson_weighted_learning,NO,NO,NO,YES,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
brain_validated_action_label,derived_or_phase_extension,YES,NO,NO,YES,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
calibrated_regime_conviction_score,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
calibration_eligible_flag,quality_governance,NO,YES,YES,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
cash_efficiency_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
cash_tied_above_optimal_cost,stock_optimal,YES,YES,NO,NO,NO,NO,,NO,NO,YES,NO,KEEP
constraint_block_flag,quality_governance,NO,YES,YES,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
current_soh,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
current_stock_position_label,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
customer_basket_trust_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
customer_loyalty_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
customer_price_sensitivity_regime,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
dag_decision_path_quality,dag_knowledge_graph_memory,NO,NO,NO,NO,YES,YES,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
dag_state_coverage_score,dag_knowledge_graph_memory,NO,NO,NO,NO,YES,YES,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
decision_triage_class,economic_triage,YES,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
distance_to_optimal_end_soh,stock_optimal,NO,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
economic_net_value_score,economic_triage,NO,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
expected_gp_capture_value,economic_triage,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
expected_normal_units_during_promo,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
expected_promo_uplift_units,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
expected_soh_at_promo_start_before_order,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
expected_total_promo_demand_units,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_avg_basket_gp_when_present,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_avg_basket_value_when_present,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_basket_3plus_attach_rate,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_basket_5plus_attach_rate,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_basket_attach_rate,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
feature_sister_club_attach_rate,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
governance_update_recommendation,lesson_weighted_learning,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
human_buyer_decision,shadow_human_feedback,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
human_override_flag,shadow_human_feedback,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
human_review_status,shadow_human_feedback,YES,NO,NO,NO,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
kg_basket_centrality_score,dag_knowledge_graph_memory,NO,NO,NO,NO,YES,YES,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
kg_substitute_availability_score,dag_knowledge_graph_memory,NO,NO,NO,NO,YES,YES,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
lesson_learned_label,shadow_human_feedback,YES,NO,NO,YES,NO,NO,not_in_brain_feature_families,YES,NO,NO,NO,ADD_TO_BRAIN_FAMILY_OR_DIAGNOSTICS
lesson_weight,lesson_weighted_learning,NO,NO,NO,YES,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
long_tail_mission_sku_flag,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
long_tail_protection_value,basket_trust,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
long_tail_sku_flag,basket_trust,YES,YES,NO,NO,NO,YES,,NO,NO,YES,NO,KEEP
missed_sales_avoidance_value,economic_triage,NO,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
mission_sku_flag,basket_trust,YES,YES,NO,NO,NO,NO,,NO,NO,NO,NO,KEEP
mission_sku_score,basket_trust,YES,YES,NO,NO,YES,YES,,NO,NO,YES,NO,KEEP
model_expected_units_total_promo_calibrated,bias_calibration,NO,NO,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
optimal_base_soh_units,stock_optimal,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
overall_regime_opportunity_score,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
overall_regime_risk_score,regime_brain,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
overstock_cash_release_value,economic_triage,NO,NO,NO,NO,NO,NO,leakage_audit_exclusion,NO,NO,NO,NO,KEEP
promo_convexity_regime,regime_brain,YES,YES,NO,NO,NO,NO,,NO,NO,NO,YES,REPAIR_ENCODING_OR_DEFAULTS
promo_convexity_score,demand_uplift,NO,YES,NO,NO,NO,NO,,NO,NO,YES,NO,BUILD_OR_MERGE_FEATURE
