feature_name,risk_type,risk_level,reason,allowed_use,model_input_allowed_flag,diagnostics_allowed_flag,report_allowed_flag
sku_number,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
sku_description,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
operator_decision,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
store_action_label,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
store_action_label_v2,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
store_action_reason,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
store_action,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
demand_evidence_label,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
availability_risk_label,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
capital_drag_label,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
raw_model_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
provisional_review_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
final_store_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
raw_model_order_value,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
provisional_review_order_value,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
final_store_order_value,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
low_soh_policy_final_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
low_soh_policy_shadow_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
shadow_policy_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
recommended_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
target_stock_day_one_units,TARGET_DERIVED,HIGH,Target-derived field,TARGET_ONLY,NO,YES,YES
store_number,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_id,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_name,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_start_date,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_end_date,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
on_order_units,ACTION_OR_GOVERNANCE,HIGH,Action/order/governance field,GOVERNANCE_ONLY,NO,YES,YES
gap_to_day_one_target_units,TARGET_DERIVED,HIGH,Target-derived field,TARGET_ONLY,NO,YES,YES
historical_promo_response_summary,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_backtest_within_10pct_flag,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_backtest_mean_absolute_pct_error,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
promotion_backtest_bias_class,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
