feature_name,feature_family,included_flag,exclusion_reason,selection_reason,model_specific_risk_note
priority_rank,other,YES,,registry_ACTIVE_MODEL_INPUT,
priority_band,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
sku_number,identity,NO,,,
sku_description,identity,NO,,,
operator_decision,other,NO,governed_action_leakage,,do_not_leak_final_governed_action
operator_action,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
order_units,other,NO,,,
reason_short,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
risk_flag,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
review_flag,other,YES,,registry_ACTIVE_MODEL_INPUT,
audit_notes,other,NO,,,
store_action_label,other,NO,governed_action_leakage,,do_not_leak_final_governed_action
store_action_label_v2,other,NO,governed_action_leakage,,do_not_leak_final_governed_action
store_action_reason,other,NO,,,
store_action,other,NO,,,
operator_status,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
recommended_action,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
execution_readiness_status,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
demand_evidence_label,other,NO,,,
availability_risk_label,other,NO,,,
capital_drag_label,other,NO,,,
primary_review_reason,other,YES,,registry_ACTIVE_MODEL_INPUT_WITH_FLAGS,
blocker_reason,other,YES,,registry_ACTIVE_MODEL_INPUT_WITH_FLAGS,
human_review_required_flag,other,NO,,,
low_nonzero_value_relief_delta,other,NO,,,
raw_model_order_units,other,NO,,,
provisional_review_order_units,other,NO,,,
final_store_order_units,other,NO,,,
raw_model_order_value,other,NO,,,
provisional_review_order_value,other,NO,,,
final_store_order_value,other,NO,,,
low_soh_policy_version,other,NO,,,
low_soh_policy_candidate_flag,date_field,YES,,registry_ACTIVE_SPARSE_SIGNAL,
low_soh_policy_production_eligible_flag,other,NO,,,
low_soh_policy_final_order_units,other,NO,,,
low_soh_policy_shadow_order_units,other,NO,,,
low_soh_policy_capital_at_risk,other,NO,,,
low_soh_policy_reason,other,NO,,,
low_soh_policy_guardrail_status,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
low_soh_policy_blocker_reason,other,NO,,,
low_soh_policy_decision_source,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
shadow_policy_name,shadow_brain,NO,,,
shadow_policy_version,shadow_brain,NO,,,
shadow_policy_candidate_flag,shadow_brain,YES,,registry_ACTIVE_SPARSE_SIGNAL,
shadow_policy_segment,shadow_brain,NO,,,
shadow_policy_order_units,shadow_brain,NO,,,
shadow_policy_capital_at_risk,shadow_brain,NO,,,
shadow_policy_expected_reason,shadow_brain,NO,,,
shadow_policy_guardrail_status,shadow_brain,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
shadow_policy_blocker_reason,shadow_brain,NO,,,
shadow_policy_should_publish_flag,shadow_brain,NO,,,
shadow_policy_should_affect_final_order_flag,shadow_brain,NO,,,
order_reconciliation_status,other,NO,,,
order_reconciliation_reason,other,NO,,,
decision_reason,other,NO,,,
recommended_order_units,other,NO,,,
model_confidence_percent,other,YES,,registry_ACTIVE_MODEL_INPUT,
capital_at_risk_adjusted_dollars,other,YES,,registry_ACTIVE_MODEL_INPUT_WITH_FLAGS,
retail_risk_reward_ratio,other,YES,,registry_ACTIVE_MODEL_INPUT,
discount_percent,other,YES,,registry_ACTIVE_MODEL_INPUT,
stockout_probability_percent,probability_model,YES,,registry_ACTIVE_MODEL_INPUT,
projected_on_hand_at_promo_start,other,YES,,registry_ACTIVE_MODEL_INPUT,
minimum_launch_stock_units,other,NO,,,
floor_units_required,other,NO,,,
current_soh,other,YES,,registry_ACTIVE_MODEL_INPUT,
promo_allocated_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
expected_promo_demand,other,YES,,registry_ACTIVE_MODEL_INPUT,
available_to_sell_before_floor,ats_evidence,YES,,registry_ACTIVE_MODEL_INPUT,
target_stock_day_one_units,target,NO,,,
projected_stock_gap_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
days_to_promo_start,other,NO,,,
prediction_date,date_field,NO,,,
lead_up_demand_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
expected_units_before_promo_start,other,YES,,registry_ACTIVE_MODEL_INPUT,
expected_units_first_7_days,other,YES,,registry_ACTIVE_MODEL_INPUT,
promotion_period_days,other,NO,,,
expected_units_per_period,other,YES,,registry_ACTIVE_MODEL_INPUT,
expected_units_per_day,other,YES,,registry_ACTIVE_MODEL_INPUT,
projected_promotional_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
expected_units_total_promo,other,YES,,registry_ACTIVE_MODEL_INPUT,
order_timing_summary,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
forecast_trust_summary,other,NO,,,
model_reason_summary,other,NO,,,
store_number,identity,NO,,,
promotion_id,identity,NO,,,
promotion_name,identity,NO,,,
promotion_start_date,identity,NO,,,
promotion_end_date,identity,NO,,,
minimum_safe_stock_day_one_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
lead_days_to_promo_start,other,NO,,,
days_until_action,other,NO,,,
buy_now_flag,other,NO,,,
watch_flag,other,NO,,,
do_not_buy_flag,other,YES,,registry_ACTIVE_MODEL_INPUT,
current_soh_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
on_order_units,other,NO,,,
effective_available_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
gap_to_day_one_target_units,other,NO,,,
demand_evidence_class,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
confidence_band,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
historical_promo_response_summary,prior_promo_history,NO,,,
historical_units_same_discount_avg,prior_promo_history,YES,,registry_ACTIVE_MODEL_INPUT,
historical_units_same_or_better_discount_avg,prior_promo_history,YES,,registry_ACTIVE_MODEL_INPUT,
historical_promo_events_same_discount,prior_promo_history,YES,,registry_ACTIVE_MODEL_INPUT,
historical_promo_events_same_or_better_discount,prior_promo_history,YES,,registry_ACTIVE_MODEL_INPUT,
discount_response_summary,other,NO,,,
forecast_trust_band,other,NO,,,
promotion_backtest_within_10pct_flag,promotion_backtest,NO,,,
promotion_backtest_mean_absolute_pct_error,promotion_backtest,NO,,,
promotion_backtest_bias_class,promotion_backtest,NO,,,
promotion_backtest_comparable_event_count,promotion_backtest,NO,,,
stockout_risk_reason,other,NO,,,
days_of_cover_to_promo_start,other,YES,,registry_ACTIVE_MODEL_INPUT,
days_of_cover_first_7_days,other,YES,,registry_ACTIVE_MODEL_INPUT,
projected_launch_cover_units,other,YES,,registry_ACTIVE_MODEL_INPUT,
stockout_risk_band,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
overstock_risk_band,other,YES,,registry_ACTIVE_ENCODED_CATEGORICAL,
estimated_leftover_units,other,NO,,,
