store_number,promotion_id,sku_number,department,adjacent_confidence_raw,adjacent_confidence_calibrated,adjacent_path_use_policy,adjacent_path_use_reason,new_line_flag,weak_history_flag,model_expected_units_total_promo,adjacent_expected_units,actual_units_sold_promo
772,772|92331|2025-11-25|2025-12-01|772-92331-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,92331,SKINCARE,0.9386,0.3286,DATA_REPAIR_REQUIRED,Basket attachment quality too weak for adjacent trust,NO,NO,1.089,1.3966,4.0
772,772|193148|2025-12-01|2025-12-13|772-193148-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,193148,COLOUR COSMETICS,0.9238,0.3706,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.3,0.6897,1.0
772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,51070,COLOUR COSMETICS,0.9238,0.3706,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.3,0.6897,1.0
772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195422,COLOUR COSMETICS,0.9236,0.3705,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.4,0.6897,1.0
772,772|195434|2025-12-11|2025-12-24|772-195434-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,195434,COLOUR COSMETICS,0.9236,0.3705,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.4,0.6897,1.0
772,772|44175|2025-12-11|2025-12-24|772-44175-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,44175,BEAUTY ACCESSORIES,0.9271,0.3234,DATA_REPAIR_REQUIRED,Basket attachment quality too weak for adjacent trust,NO,YES,1.4,0.6818,2.0
772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,185192,SUNCARE,0.9271,0.3919,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.4,2.5,3.0
772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,188146,SUNCARE,0.9224,0.2746,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.4,2.5,1.0
772,772|190060|2025-12-25|2026-01-14|772-190060-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190060,BEAUTY ACCESSORIES,0.9224,0.3772,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.968,0.7419,1.0
772,772|190062|2025-12-25|2026-01-14|772-190062-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190062,BEAUTY ACCESSORIES,0.9224,0.3772,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.4,0.7419,1.0
772,772|190065|2025-12-25|2026-01-14|772-190065-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190065,BEAUTY ACCESSORIES,0.9248,0.3268,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.354,0.7419,2.0
772,772|190084|2025-12-25|2026-01-14|772-190084-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190084,BEAUTY ACCESSORIES,0.9271,0.3104,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.35,0.7419,3.0
772,772|190099|2025-12-25|2026-01-14|772-190099-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190099,BEAUTY ACCESSORIES,0.7248,0.252,USE_FOR_NEW_LINE_CONTEXT_ONLY,"Adjacent path provides analogy context only, not order quantity",NO,YES,1.793,0.6667,2.0
772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190135,BEAUTY ACCESSORIES,0.9248,0.3268,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.565,0.7419,2.0
772,772|190274|2025-12-25|2026-01-14|772-190274-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,190274,HAIR ACC BRUSHES,0.9248,0.3744,DO_NOT_USE_FOR_FORECAST,Raw confidence overstated; Phase 6C validation underperformed model,NO,YES,1.858,1.4286,2.0
