feature_name,feature_family,feature_subfamily,feature_source,trainability_status,registry_status,model_input_allowed_flag,brain_visible_flag,governance_visible_flag,report_visible_flag,diagnostics_visible_flag,leakage_risk_level,missingness_policy,encoding_policy,transform_policy,imputation_policy,sparse_policy,quality_gate_status,legacy_selector_status,recommended_use,deployment_status
priority_rank,other,core,phase6f_feature_quality_profile,MODEL_READY,ACTIVE_MODEL_INPUT,YES,YES,NO,YES,YES,LOW,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT,ADVISORY_SHADOW_ONLY
priority_band,other,core,phase6f_feature_quality_profile,ENCODE_CATEGORICAL,ACTIVE_ENCODED_CATEGORICAL,YES,YES,NO,YES,YES,LOW,PRESERVE_UNKNOWN_LABEL,LOW_CARDINALITY_LABEL_ENCODE,none,PRESERVE_UNKNOWN_LABEL,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT_ENCODED,ADVISORY_SHADOW_ONLY
sku_number,identity,identity,phase6f_feature_quality_profile,REPORT_ONLY,REPORT_ONLY,NO,NO,NO,YES,YES,MEDIUM,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,REPORT,ADVISORY_SHADOW_ONLY
sku_description,identity,identity,phase6f_feature_quality_profile,REPORT_ONLY,REPORT_ONLY,NO,NO,NO,YES,YES,MEDIUM,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,REPORT,ADVISORY_SHADOW_ONLY
operator_decision,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
operator_action,other,core,phase6f_feature_quality_profile,ENCODE_CATEGORICAL,ACTIVE_ENCODED_CATEGORICAL,YES,YES,NO,YES,YES,LOW,PRESERVE_UNKNOWN_LABEL,LOW_CARDINALITY_LABEL_ENCODE,none,PRESERVE_UNKNOWN_LABEL,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT_ENCODED,ADVISORY_SHADOW_ONLY
order_units,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,KEEP_WITH_FLAG,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
reason_short,other,core,phase6f_feature_quality_profile,ENCODE_CATEGORICAL,ACTIVE_ENCODED_CATEGORICAL,YES,YES,NO,YES,YES,LOW,PRESERVE_UNKNOWN_LABEL,LOW_CARDINALITY_LABEL_ENCODE,none,PRESERVE_UNKNOWN_LABEL,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT_ENCODED,ADVISORY_SHADOW_ONLY
risk_flag,other,core,phase6f_feature_quality_profile,ENCODE_CATEGORICAL,ACTIVE_ENCODED_CATEGORICAL,YES,YES,NO,YES,YES,LOW,PRESERVE_UNKNOWN_LABEL,LOW_CARDINALITY_LABEL_ENCODE,none,PRESERVE_UNKNOWN_LABEL,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT_ENCODED,ADVISORY_SHADOW_ONLY
review_flag,other,core,phase6f_feature_quality_profile,MODEL_READY,ACTIVE_MODEL_INPUT,YES,YES,NO,YES,YES,LOW,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT,ADVISORY_SHADOW_ONLY
audit_notes,other,core,phase6f_feature_quality_profile,TEXT_DIAGNOSTIC_ONLY,DIAGNOSTICS_ONLY,NO,NO,NO,YES,YES,LOW,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,DIAGNOSTIC,ADVISORY_SHADOW_ONLY
store_action_label,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
store_action_label_v2,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
store_action_reason,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
store_action,other,core,phase6f_feature_quality_profile,BLOCK_LEAKAGE_RISK,BLOCKED_LEAKAGE,NO,NO,NO,NO,YES,HIGH,KEEP_NAN_NOT_ZERO,NONE,none,KEEP_NAN_NOT_ZERO,NONE,BLOCKED,NOT_IN_LEGACY,BLOCKED,ADVISORY_SHADOW_ONLY
operator_status,other,core,phase6f_feature_quality_profile,ENCODE_CATEGORICAL,ACTIVE_ENCODED_CATEGORICAL,YES,YES,NO,YES,YES,LOW,PRESERVE_UNKNOWN_LABEL,LOW_CARDINALITY_LABEL_ENCODE,none,PRESERVE_UNKNOWN_LABEL,NONE,PASS,MISSING_FROM_LEGACY,MODEL_INPUT_ENCODED,ADVISORY_SHADOW_ONLY
