feature_name,included_flag,feature_family,trainability_status,imputation_policy,missingness_flag_created,encoding_policy,transform_policy,model_ready_dtype,selection_reason,exclusion_reason
priority_rank,YES,other,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,int64,trainability_MODEL_READY,
priority_band,YES,other,ENCODE_CATEGORICAL,PRESERVE_UNKNOWN_LABEL,NO,LOW_CARDINALITY_LABEL_ENCODE,none,category_encoded_float,trainability_ENCODE_CATEGORICAL,
sku_number,NO,identity,REPORT_ONLY,KEEP_NAN_NOT_ZERO,NO,NONE,none,int64,,KEEP_AS_IDENTITY_NOT_MODEL_INPUT
sku_description,NO,identity,REPORT_ONLY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,,KEEP_AS_IDENTITY_NOT_MODEL_INPUT
operator_decision,NO,other,BLOCK_LEAKAGE_RISK,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,,BLOCK_ACTION_OR_ORDER_FIELD
operator_action,YES,other,ENCODE_CATEGORICAL,PRESERVE_UNKNOWN_LABEL,NO,LOW_CARDINALITY_LABEL_ENCODE,none,category_encoded_float,trainability_ENCODE_CATEGORICAL,
order_units,NO,other,BLOCK_LEAKAGE_RISK,KEEP_NAN_NOT_ZERO,NO,NONE,none,int64,,BLOCK_ACTION_OR_ORDER_FIELD
reason_short,YES,other,ENCODE_CATEGORICAL,PRESERVE_UNKNOWN_LABEL,NO,LOW_CARDINALITY_LABEL_ENCODE,none,category_encoded_float,trainability_ENCODE_CATEGORICAL,
risk_flag,YES,other,ENCODE_CATEGORICAL,PRESERVE_UNKNOWN_LABEL,NO,LOW_CARDINALITY_LABEL_ENCODE,none,category_encoded_float,trainability_ENCODE_CATEGORICAL,
review_flag,YES,other,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,int64,trainability_MODEL_READY,
audit_notes,NO,other,TEXT_DIAGNOSTIC_ONLY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,,HIGH_CARDINALITY_TEXT_EXCLUDE_OR_HASH
